country	fauna_count	nextstrain_count	n_seqs_unpublished
american_samoa	9	9	0
brazil	107	84	0
china	7	6	0
colombia	13	13	0
cuba	1	1	1
domincan_republic	32	31	6
ecuador	2	2	0
el_salvador	1	1	0
fiji	1	1	0
french_guiana	1	1	0
french_polynesia	15	15	0
guadeloupe	1	1	1
guatemala	3	3	0
haiti	10	10	6
honduras	23	23	0
italy	3	0	0
jamaica	5	4	0
japan	1	1	0
martinique	3	3	0
mexico	17	17	0
nicaragua	8	8	0
panama	4	4	0
peru	2	2	0
puerto_rico	6	6	0
saint_barthelemy	1	1	1
singapore	119	30	0
suriname	3	3	0
thailand	6	0	0
tonga	1	1	0
united_states	41	35	0
usvi	31	31	0
venezuela	9	5	0
vietnam	1	1	0
