strain_name,accession_number,lead_author,permission_type,publication_pubmed_id,permission_to_use,preliminarily_include
Brazil/2016/ZBRX16,KY559016,Faria et al,previously_published,28538727,not_necessary,yes
Brazil/2016/ZBRX2,KY559006,Faria et al,previously_published,28538727,not_necessary,yes
Brazil/2016/ZBRX4,KY559007,Faria et al,previously_published,28538727,not_necessary,yes
Brazil/2016/ZBRX7,KY559009,Faria et al,previously_published,28538727,not_necessary,yes
Brazil/2016/ZBRX8,KY559010,Faria et al,previously_published,28538727,not_necessary,yes
Brazil/2016/ZBRY1,KY559025,Faria et al,previously_published,28538727,not_necessary,yes
Brazil/2016/ZBRY4,KY559026,Faria et al,previously_published,28538727,not_necessary,yes
Brazil/2016/ZBRY6,KY559027,Faria et al,previously_published,28538727,not_necessary,yes
Brazil/2016/ZBRY7,KY559032,Faria et al,previously_published,28538727,not_necessary,yes
Brazil/2016/ZBRY8,KY559031,Faria et al,previously_published,28538727,not_necessary,yes
Mex03/Mexico/2016,KY606271,Faria et al,previously_published,28538727,not_necessary,yes
SSABR1,KU707826,Giovanetti et al,previously_published,27071531,not_necessary,yes
Brazil_2015_MG,KX811222,Green et al,unpublished,NA,permission_not_received,no
Aedes_aegypti/USA/2016/FL01,KX838904,Grubaugh et al,previously_published,28538723,not_necessary,yes
Aedes_aegypti/USA/2016/FL02,KX838905,Grubaugh et al,previously_published,28538723,not_necessary,yes
Aedes_aegypti/USA/2016/FL03,KX838906,Grubaugh et al,previously_published,28538723,not_necessary,yes
Aedes_aegypti/USA/2016/FL04,KX922708,Grubaugh et al,previously_published,28538723,not_necessary,yes
Aedes_aegypti/USA/2016/FL05,KY075937,Grubaugh et al,previously_published,28538723,not_necessary,yes
Aedes_aegypti/USA/2016/FL06,KY075938,Grubaugh et al,previously_published,28538723,not_necessary,yes
Aedes_aegypti/USA/2016/FL08,KY075939,Grubaugh et al,previously_published,28538723,not_necessary,yes
Cuba/2017_10_09/FL82U,MK560178,Grubaugh et al,unpublished,NA,use_permission_granted,yes
Cuba/2017/FL049U,MH063261,Grubaugh et al,unpublished,NA,use_permission_granted,yes
Cuba/2017/FL051Se,MH063262,Grubaugh et al,unpublished,NA,use_permission_granted,yes
Cuba/2017/FL052U,MH063263,Grubaugh et al,unpublished,NA,use_permission_granted,yes
Cuba/2017/FL055Se,MH063264,Grubaugh et al,unpublished,NA,use_permission_granted,yes
Cuba/2017/FL057U,MH063265,Grubaugh et al,unpublished,NA,use_permission_granted,yes
Cuba/2017/Hu0046Sa,MF159531,Grubaugh et al,unpublished,NA,use_permission_granted,yes
Cuba/2018_01_18/FL257U,MK560179,Grubaugh et al,unpublished,NA,use_permission_granted,yes
FLSR103,MK269360,Grubaugh et al,previously_published,28538723,not_necessary,yes
FLSR118,MK269353,Grubaugh et al,previously_published,28538723,not_necessary,yes
FLUR096,MK269357,Grubaugh et al,previously_published,28538723,not_necessary,yes
Martinique/2016/FL001Sa,KY075932,Grubaugh et al,previously_published,28538723,not_necessary,yes
PuertoRico/2016/FL008U,KY075933,Grubaugh et al,previously_published,28538723,not_necessary,yes
PuertoRico/2016/FL016U,KY075934,Grubaugh et al,previously_published,28538723,not_necessary,yes
USA/2016/FL021,KX922703,Grubaugh et al,previously_published,28538723,not_necessary,yes
USA/2016/FL022,KY075935,Grubaugh et al,previously_published,28538723,not_necessary,yes
USA/2016/FL030,KX922704,Grubaugh et al,previously_published,28538723,not_necessary,yes
USA/2016/FL032,KX922705,Grubaugh et al,previously_published,28538723,not_necessary,yes
USA/2016/FL036,KY075936,Grubaugh et al,previously_published,28538723,not_necessary,yes
USA/2016/FL039,KX922707,Grubaugh et al,previously_published,28538723,not_necessary,yes
USA/2016/FLSR036,KY325464,Grubaugh et al,previously_published,28538723,not_necessary,yes
USA/2016/FLSR043,KY325465,Grubaugh et al,previously_published,28538723,not_necessary,yes
USA/2016/FLUR006,KY325467,Grubaugh et al,previously_published,28538723,not_necessary,yes
USA/2016/FLUR007,KY325468,Grubaugh et al,previously_published,28538723,not_necessary,yes
USA/2016/FLUR008,KY325469,Grubaugh et al,previously_published,28538723,not_necessary,yes
USA/2016/FLUR013,KY325472,Grubaugh et al,previously_published,28538723,not_necessary,yes
USA/2016/FLUR015,KY325483,Grubaugh et al,previously_published,28538723,not_necessary,yes
USA/2016/FLUR022,KY325473,Grubaugh et al,previously_published,28538723,not_necessary,yes
USA/2016/FLUR058,KY325476,Grubaugh et al,previously_published,28538723,not_necessary,yes
USA/2016/FLUR063,KY325477,Grubaugh et al,previously_published,28538723,not_necessary,yes
USA/2016/FLWB044,KY325479,Grubaugh et al,previously_published,28538723,not_necessary,yes
USA/2016/Hu0015SA,KX832731,Grubaugh et al,previously_published,28538723,not_necessary,yes
Haiti/1/2016,KX051563,Iovine et al,previously_published,27694479,not_necessary,yes
31N,MH900227,Izquierdo-Suzan et al,unpublished,NA,permission_not_received,no
V96622,MN473450,Kamelian et al,unpublished,NA,permission_not_received,no
V96623,MN473451,Kamelian et al,unpublished,NA,permission_not_received,no
V96624,MN473452,Kamelian et al,unpublished,NA,permission_not_received,no
V96625,MN473453,Kamelian et al,unpublished,NA,permission_not_received,no
V96626,MN473454,Kamelian et al,unpublished,NA,permission_not_received,no
Dominican_Rep_Rus_3ALT_2016,MF098764,Karan et al,unpublished,NA,use_permission_granted,yes
Dominican_Rep_Rus_4MRG_2016,MF098765,Karan et al,unpublished,NA,use_permission_granted,yes
Dominican_Rep_Rus_5RMN_2016,MF098766,Karan et al,unpublished,NA,use_permission_granted,yes
Dominican_Rep_Rus_7EGR_2016,MF098768,Karan et al,unpublished,NA,use_permission_granted,yes
Dominican_Rep_Rus_8ZBR_2016,MF098769,Karan et al,unpublished,NA,use_permission_granted,yes
Mexico_Rus_10GNN_2016,MF098770,Karan et al,unpublished,NA,use_permission_granted,yes
Mexico_Rus_12TVR_2017,MF098771,Karan et al,unpublished,NA,use_permission_granted,yes
Saint_Barthelemi_Rus_6BRN_2016,MF098767,Karan et al,unpublished,NA,use_permission_granted,yes
FLA,KY989971,Kneubehl et al,unpublished,NA,permission_not_received,no
459148_Meta_Colombia_2016,MH544701,Laiton Donato et al,unpublished,NA,permission_not_received,no
2016\HND\19563,KX906952,Lamson et al,unpublished,NA,permission_not_received,no
PRVABC59,KU501215,Lanciotti et al,previously_published,27088323,not_necessary,yes
R114916,KX766028,Lanciotti et al,unpublished,NA,use_permission_granted,yes
R116265,KX766029,Lanciotti et al,unpublished,NA,use_permission_granted,yes
V103344,KU501216,Lanciotti et al,previously_published,27088323,not_necessary,yes
V103451,KX262887,Lanciotti et al,unpublished,NA,use_permission_granted,yes
V8375,KU501217,Lanciotti et al,previously_published,27088323,not_necessary,yes
Cuba_2017,MF438286,Lasala-Sanchez et al,unpublished,NA,use_permission_granted,yes
COL/UF_1/2016,KX247646,Lednicky et al,unpublished,NA,use_permission_granted,no
Haiti/1225/2014,KU509998,Lednicky et al,previously_published,27111294,not_necessary,yes
COL/FCC00093/2015,KX548902,Leguia et al,previously_published,28633961,not_necessary,yes
FHT1166/HON/2016,KY693676,Leguia et al,previously_published,28633961,not_necessary,yes
FHT1175/HON/2016,KY693677,Leguia et al,previously_published,28633961,not_necessary,yes
FPI15198/PERU/Loreto/2016,KY693678,Leguia et al,previously_published,28633961,not_necessary,yes
FPI15263/PERU/Loreto/2016,KY693679,Leguia et al,previously_published,28633961,not_necessary,yes
FVM00318/VEN/Maracay/2016,KY693680,Leguia et al,previously_published,28633961,not_necessary,yes
GZ02/2016,KX056898,Li et al,previously_published,28095443,not_necessary,yes
Henan/001/2016,MF593625,Li et al,unpublished,NA,permission_not_received,no
VE_Ganxian,KU744693,Liu et al,unpublished,NA,permission_not_received,no
PE243,MF352141,Marques et al,unpublished,NA,permission_not_received,no
EC/Esmeraldas/062/2016,KX879603,Marquez et al,previously_published,28232448,not_necessary,yes
EC/Esmeraldas/089/2016,KX879604,Marquez et al,previously_published,28232448,not_necessary,yes
BRA/2016/FC_6418,KY785410,Metsky et al,previously_published,28538734,not_necessary,yes
BRA/2016/FC_6696,KY014313,Metsky et al,previously_published,28538734,not_necessary,yes
BRA/2016/FC_6706,KY785433,Metsky et al,previously_published,28538734,not_necessary,yes
BRA/2016/FC_6863,KY785450,Metsky et al,previously_published,28538734,not_necessary,yes
BRA/2016/FC_6864,KY014297,Metsky et al,previously_published,28538734,not_necessary,yes
BRA/2016/FC_DQ107D1,KY014301,Metsky et al,previously_published,28538734,not_necessary,yes
BRA/2016/FC_DQ116D1,KY785429,Metsky et al,previously_published,28538734,not_necessary,yes
BRA/2016/FC_DQ122D1,KY785456,Metsky et al,previously_published,28538734,not_necessary,yes
BRA/2016/FC_DQ131D1,KY014296,Metsky et al,previously_published,28538734,not_necessary,yes
BRA/2016/FC_DQ28D1,KY014317,Metsky et al,previously_published,28538734,not_necessary,yes
BRA/2016/FC_DQ42D1,KY014320,Metsky et al,previously_published,28538734,not_necessary,yes
BRA/2016/FC_DQ47D1,KY014309,Metsky et al,previously_published,28538734,not_necessary,yes
BRA/2016/FC_DQ49D1,KY014307,Metsky et al,previously_published,28538734,not_necessary,yes
BRA/2016/FC_DQ58D1,KY785427,Metsky et al,previously_published,28538734,not_necessary,yes
BRA/2016/FC_DQ5D1,KY785437,Metsky et al,previously_published,28538734,not_necessary,yes
BRA/2016/FC_DQ62D1,KY785480,Metsky et al,previously_published,28538734,not_necessary,yes
BRA/2016/FC_DQ62D2,KY785455,Metsky et al,previously_published,28538734,not_necessary,yes
COL/2016/SU_1856A,KY785466,Metsky et al,previously_published,28538734,not_necessary,yes
COL/2016/SU_2724A,KY785469,Metsky et al,previously_published,28538734,not_necessary,yes
DOM/2016/BB_0059,KY785425,Metsky et al,previously_published,28538734,not_necessary,yes
DOM/2016/BB_0076,KY014305,Metsky et al,previously_published,28538734,not_necessary,yes
DOM/2016/BB_0091,KY785475,Metsky et al,previously_published,28538734,not_necessary,yes
DOM/2016/BB_0115,KY014321,Metsky et al,previously_published,28538734,not_necessary,yes
DOM/2016/BB_0127,KY014303,Metsky et al,previously_published,28538734,not_necessary,yes
DOM/2016/BB_0180,KY014304,Metsky et al,previously_published,28538734,not_necessary,yes
DOM/2016/BB_0183,KY785420,Metsky et al,previously_published,28538734,not_necessary,yes
DOM/2016/BB_0208,KY014300,Metsky et al,previously_published,28538734,not_necessary,yes
DOM/2016/BB_0216,KY014302,Metsky et al,previously_published,28538734,not_necessary,yes
DOM/2016/BB_0269,KY014318,Metsky et al,previously_published,28538734,not_necessary,yes
DOM/2016/BB_0433,KY785441,Metsky et al,previously_published,28538734,not_necessary,yes
DOM/2016/BB_0436,KY014314,Metsky et al,previously_published,28538734,not_necessary,yes
DOM/2016/MA_WGS16_007,KY785453,Metsky et al,previously_published,28538734,not_necessary,yes
DOM/2016/MA_WGS16_011,KY785484,Metsky et al,previously_published,28538734,not_necessary,yes
DOM/2016/MA_WGS16_014,KY785470,Metsky et al,previously_published,28538734,not_necessary,yes
DOM/2016/MA_WGS16_024,KY785435,Metsky et al,previously_published,28538734,not_necessary,yes
DOM/2016/MA_WGS16_040,KY785413,Metsky et al,previously_published,28538734,not_necessary,yes
HND/2016/HU_ME131,KY785414,Metsky et al,previously_published,28538734,not_necessary,yes
HND/2016/HU_ME147,KY785442,Metsky et al,previously_published,28538734,not_necessary,yes
HND/2016/HU_ME152,KY014315,Metsky et al,previously_published,28538734,not_necessary,yes
HND/2016/HU_ME156,KY785452,Metsky et al,previously_published,28538734,not_necessary,yes
HND/2016/HU_ME167,KY014327,Metsky et al,previously_published,28538734,not_necessary,yes
HND/2016/HU_ME171,KY785448,Metsky et al,previously_published,28538734,not_necessary,yes
HND/2016/HU_ME178,KY014306,Metsky et al,previously_published,28538734,not_necessary,yes
HND/2016/HU_ME180,KY785431,Metsky et al,previously_published,28538734,not_necessary,yes
HND/2016/HU_ME38,KY014319,Metsky et al,previously_published,28538734,not_necessary,yes
HND/2016/HU_ME42,KY014310,Metsky et al,previously_published,28538734,not_necessary,yes
HND/2016/HU_ME50,KY014311,Metsky et al,previously_published,28538734,not_necessary,yes
HND/2016/HU_ME58,KY014312,Metsky et al,previously_published,28538734,not_necessary,yes
HND/2016/HU_ME59,KY785418,Metsky et al,previously_published,28538734,not_necessary,yes
JAM/2016/MA_WGS16_025,KY785424,Metsky et al,previously_published,28538734,not_necessary,yes
JAM/2016/MA_WGS16_039,KY785430,Metsky et al,previously_published,28538734,not_necessary,yes
JAM/2016/WI_JM6,KY785419,Metsky et al,previously_published,28538734,not_necessary,yes
PRI/2016/MA_WGS16_004,KY785464,Metsky et al,previously_published,28538734,not_necessary,yes
PRI/2016/MA_WGS16_016,KY785462,Metsky et al,previously_published,28538734,not_necessary,yes
USA/2016/FL010,KY014295,Metsky et al,previously_published,28538734,not_necessary,yes
USA/2016/FL028,KY785443,Metsky et al,previously_published,28538734,not_necessary,yes
USA/2016/FL038,KY014326,Metsky et al,previously_published,28538734,not_necessary,yes
USA/2016/MA_WGS16_034,KY785459,Metsky et al,previously_published,28538734,not_necessary,yes
V9,KX197205,Miranda et al,unpublished,NA,permission_not_received,no
Natal_RGN,KU527068,Mlakar et al,previously_published,26862926,not_necessary,yes
French_Guiana_Aedes_aegypti_T1010,MN185326,Moutailler et al,previously_published,31569736,not_necessary,yes
French_Guiana_Aedes_aegypti_T1141,MN185328,Moutailler et al,previously_published,31569736,not_necessary,yes
Guadeloupe_Aedes_aegypti_T1044,MN185327,Moutailler et al,previously_published,31569736,not_necessary,yes
Guadeloupe_Aedes_aegypti_T1506,MN185329,Moutailler et al,previously_published,31569736,not_necessary,yes
Guadeloupe_Aedes_aegypti_T633,MN185332,Moutailler et al,previously_published,31569736,not_necessary,yes
Guadeloupe_Aedes_aegypti_T905,MN185324,Moutailler et al,previously_published,31569736,not_necessary,yes
Guadeloupe_Aedes_aegypti_T910_2,MN185325,Moutailler et al,previously_published,31569736,not_necessary,yes
Guadeloupe_Aedes_aegypti_T912,MN185330,Moutailler et al,previously_published,31569736,not_necessary,yes
Guadeloupe_Aedes_aegypti_T961,MN185331,Moutailler et al,previously_published,31569736,not_necessary,yes
HN16,KY328289,Murray et al,previously_published,27748649,not_necessary,yes
MB16_23,MF988743,Mutebi et al,unpublished,NA,permission_not_received,no
Bahia07,KU940228,Naccache et al,previously_published,27448188,not_necessary,yes
Bahia08,KU940227,Naccache et al,previously_published,27448188,not_necessary,yes
Bahia09,KU940224,Naccache et al,previously_published,27448188,not_necessary,yes
V17829,KR872956,Nunes et al,unpublished,NA,permission_not_received,no
Brazil/16321,KY120352,Oh et al,unpublished,NA,permission_not_received,no
BRA/2016/ZKV17Asem_2016_04_26,MH882527,Oliveira et al,previously_published,30405055,not_necessary,yes
BRA/2016/ZKV17Auri_2016_04_26,MH882528,Oliveira et al,previously_published,30405055,not_necessary,yes
BRA/2016/ZKV17Bsem_2016_05_03,MH882529,Oliveira et al,previously_published,30405055,not_necessary,yes
BRA/2016/ZKV17Csem_2016_05_10,MH882530,Oliveira et al,previously_published,30405055,not_necessary,yes
BRA/2016/ZKV17Dsem_2016_05_17,MH882531,Oliveira et al,previously_published,30405055,not_necessary,yes
BRA/2016/ZKV17Esem_2016_05_24,MH882532,Oliveira et al,previously_published,30405055,not_necessary,yes
BRA/2016/ZKV17Fsem_2016_05_31,MH882533,Oliveira et al,previously_published,30405055,not_necessary,yes
BRA/2016/ZKV17Gsem_2016_06_08,MH882534,Oliveira et al,previously_published,30405055,not_necessary,yes
BRA/2016/ZKV17Hsem_2016_06_16,MH882535,Oliveira et al,previously_published,30405055,not_necessary,yes
BRA/2016/ZKV17Jsem_2016_06_28,MH882536,Oliveira et al,previously_published,30405055,not_necessary,yes
BRA/2016/ZKV17Ksem_2016_07_05,MH882537,Oliveira et al,previously_published,30405055,not_necessary,yes
BRA/2016/ZKV17Lsem_2016_07_12,MH882538,Oliveira et al,previously_published,30405055,not_necessary,yes
BRA/2016/ZKV17Msem_2016_07_19,MH882539,Oliveira et al,previously_published,30405055,not_necessary,yes
BRA/2016/ZKV17Nsem_2016_07_27,MH882540,Oliveira et al,previously_published,30405055,not_necessary,yes
BRA/2016/ZKV17sem_2016_04_19,MH882541,Oliveira et al,previously_published,30405055,not_necessary,yes
BRA/2016/ZKV17uri_2016_04_19,MH882542,Oliveira et al,previously_published,30405055,not_necessary,yes
BRA/2016/ZKV19Auri_2016_05_05,MH882543,Oliveira et al,previously_published,30405055,not_necessary,yes
BRA/2016/ZKV19Bsem_2016_05_12,MH882544,Oliveira et al,previously_published,30405055,not_necessary,yes
BRA/2016/ZKV19Csem_2016_05_19,MH882545,Oliveira et al,previously_published,30405055,not_necessary,yes
BRA/2016/ZKV19Dsem_2016_05_24,MH882546,Oliveira et al,previously_published,30405055,not_necessary,yes
BRA/2016/ZKV19Esem_2016_06_02,MH882547,Oliveira et al,previously_published,30405055,not_necessary,yes
BRA/2016/ZKV19Fsem_2016_06_09,MH882548,Oliveira et al,previously_published,30405055,not_necessary,yes
BRA/2016/ZKV19uri_2016_04_30,MH882549,Oliveira et al,previously_published,30405055,not_necessary,yes
FrenchPolynesia2014_060114_016,MG976700,Paoaafaite et al,unpublished,NA,permission_not_received,no
1_0015_PF,KX447511,Pettersson et al,previously_published,27729507,not_necessary,yes
1_0016_PF,KX447520,Pettersson et al,previously_published,27729507,not_necessary,yes
1_0030_PF,KX447515,Pettersson et al,previously_published,27729507,not_necessary,yes
1_0035_PF,KX447514,Pettersson et al,previously_published,27729507,not_necessary,yes
1_0038_PF,KX447517,Pettersson et al,previously_published,27729507,not_necessary,yes
1_0049_PF,KX447510,Pettersson et al,previously_published,27729507,not_necessary,yes
1_0080_PF,KX447521,Pettersson et al,previously_published,27729507,not_necessary,yes
1_0087_PF,KX447509,Pettersson et al,previously_published,27729507,not_necessary,yes
1_0111_PF,KX447516,Pettersson et al,previously_published,27729507,not_necessary,yes
1_0117_PF,KX447518,Pettersson et al,previously_published,27729507,not_necessary,yes
1_0134_PF,KX447513,Pettersson et al,previously_published,27729507,not_necessary,yes
1_0181_PF,KX447512,Pettersson et al,previously_published,27729507,not_necessary,yes
1_0199_PF,KX447519,Pettersson et al,previously_published,27729507,not_necessary,yes
COL/FLR_00001/2015,MF574552,Pickett et al,unpublished,NA,not_necessary,yes
COL/FLR_00002/2015,MF574559,Pickett et al,unpublished,NA,not_necessary,yes
