strain_name,accession_number,lead_author,permission_type,publication_pubmed_id,permission_to_use,preliminarily_include
CTS_178_16p,MH675625,Assis et al,unpublished,NA,FDA_seqs,yes
CTS_183_16p,MH675626,Assis et al,unpublished,NA,FDA_seqs,yes
CTS_193_16p,MH675627,Assis et al,unpublished,NA,FDA_seqs,yes
CTS_223_16p,MH675628,Assis et al,unpublished,NA,FDA_seqs,yes
CTS_30_16p,MH675619,Assis et al,unpublished,NA,FDA_seqs,yes
CTS_36_16p,MH675620,Assis et al,unpublished,NA,FDA_seqs,yes
CTS_47_16p,MH675621,Assis et al,unpublished,NA,FDA_seqs,yes
CTS_50_16p,MH675622,Assis et al,unpublished,NA,FDA_seqs,yes
CTS_56_16p,MH675623,Assis et al,unpublished,NA,FDA_seqs,yes
CTS_61_16p,MH675624,Assis et al,unpublished,NA,FDA_seqs,yes
QTX_02,MH675629,Assis et al,unpublished,NA,FDA_seqs,yes
QTX_04,MH675630,Assis et al,unpublished,NA,FDA_seqs,yes
PHE_Guadeloupe,KX673530,Atkinson et al,previously_published,27738033,not_necessary,yes
BeH815744,KU365780,Azevedo et al,previously_published,27013429,not_necessary,yes
BeH818995,KU365777,Azevedo et al,previously_published,27013429,not_necessary,yes
BeH819015,KU365778,Azevedo et al,previously_published,27013429,not_necessary,yes
BeH819966,KU365779,Azevedo et al,previously_published,27013429,not_necessary,yes
Aedes_sp/MEX_I_44/2016,KX856011,Balaraman et al,unpublished,NA,permission_not_received,no
H/PF/2013,KJ776791,Baronti et al,previously_published,24903869,not_necessary,yes
MEX_I_7,KX247632,Barrows et al,previously_published,27476412,not_necessary,yes
Dominican_Republic/2016/PD1,KU853012,Barzon et al,previously_published,27542178,not_necessary,yes
Haiti/2016/PD,KX269878,Barzon et al,previously_published,26987769,not_necessary,yes
SMGC_1,KX266255,Bi et al,unpublished,NA,permission_not_received,no
BR_SJRP1840,KY441403,Bittar et al,unpublished,NA,email_sent,no
BR_SJRP21,KY441401,Bittar et al,unpublished,NA,email_sent,no
BR_SJRP61,KY441402,Bittar et al,unpublished,NA,email_sent,no
Aedes_aegypti/COL/FH04/2016,MK049247,Black et al,unpublished,NA,author_is_me,yes
COL/FH02/2016,MK049245,Black et al,unpublished,NA,author_is_me,yes
COL/FH03/2016,MK049246,Black et al,unpublished,NA,author_is_me,yes
COL/FH05/2016,MK049248,Black et al,unpublished,NA,author_is_me,yes
COL/FH09/2016,MK049249,Black et al,unpublished,NA,author_is_me,yes
COL/FH16/2016,MK049250,Black et al,unpublished,NA,author_is_me,yes
COL/FH19/2016,MK049251,Black et al,unpublished,NA,author_is_me,yes
USVI/1/2016,VI1_1d,Black et al,unpublished,NA,author_is_me,yes
USVI/11/2016,VI11,Black et al,unpublished,NA,author_is_me,yes
USVI/12/2016,VI12,Black et al,unpublished,NA,author_is_me,yes
USVI/13/2016,VI13,Black et al,unpublished,NA,author_is_me,yes
USVI/15/2016,VI15_1d,Black et al,unpublished,NA,author_is_me,yes
USVI/19/2016,VI19_12plex,Black et al,unpublished,NA,author_is_me,yes
USVI/2/2016,VI2,Black et al,unpublished,NA,author_is_me,yes
USVI/20/2016,VI20_12plex,Black et al,unpublished,NA,author_is_me,yes
USVI/21/2016,VI21,Black et al,unpublished,NA,author_is_me,yes
USVI/22/2016,VI22,Black et al,unpublished,NA,author_is_me,yes
USVI/23/2016,VI23_12plex,Black et al,unpublished,NA,author_is_me,yes
USVI/24/2016,VI24,Black et al,unpublished,NA,author_is_me,yes
USVI/25/2016,VI25_1d,Black et al,unpublished,NA,author_is_me,yes
USVI/27/2016,VI27_1d,Black et al,unpublished,NA,author_is_me,yes
USVI/28/2016,VI28_1d,Black et al,unpublished,NA,author_is_me,yes
USVI/3/2016,VI3,Black et al,unpublished,NA,author_is_me,yes
USVI/30/2016,VI30_1d,Black et al,unpublished,NA,author_is_me,yes
USVI/32/2016,VI32_12plex,Black et al,unpublished,NA,author_is_me,yes
USVI/34/2016,VI34,Black et al,unpublished,NA,author_is_me,yes
USVI/35/2016,VI35,Black et al,unpublished,NA,author_is_me,yes
USVI/36/2016,VI36,Black et al,unpublished,NA,author_is_me,yes
USVI/37/2016,VI37,Black et al,unpublished,NA,author_is_me,yes
USVI/38/2016,VI38,Black et al,unpublished,NA,author_is_me,yes
USVI/39/2016,VI39_12plex,Black et al,unpublished,NA,author_is_me,yes
USVI/4/2016,VI4,Black et al,unpublished,NA,author_is_me,yes
USVI/40/2016,VI40,Black et al,unpublished,NA,author_is_me,yes
USVI/41/2016,VI41,Black et al,unpublished,NA,author_is_me,yes
USVI/42/2016,VI42,Black et al,unpublished,NA,author_is_me,yes
USVI/43/2016,VI43,Black et al,unpublished,NA,author_is_me,yes
USVI/44/2016,VI44,Black et al,unpublished,NA,author_is_me,yes
USVI/45/2016,VI45,Black et al,unpublished,NA,author_is_me,yes
USVI/46/2016,VI46,Black et al,unpublished,NA,author_is_me,yes
USVI/5/2016,VI5,Black et al,unpublished,NA,author_is_me,yes
USVI/6/2016,VI6,Black et al,unpublished,NA,author_is_me,yes
USVI/7/2016,VI7,Black et al,unpublished,NA,author_is_me,yes
VEN/UF_1/2016,KX702400,Blohm et al,previously_published,28450510,not_necessary,yes
VEN/UF_2/2016,KX893855,Blohm et al,previously_published,28450510,not_necessary,yes
RIO_BM1,KY272991,Bonaldo et al,previously_published,27341420,not_necessary,yes
Rio_S1,KU926310,Bonaldo et al,unpublished,NA,permission_not_received,no
Rio_U1,KU926309,Bonaldo et al,previously_published,27341420,not_necessary,yes
MEX_CIENI551,KY120349,Boukadida et al,previously_published,28336600,not_necessary,yes
BR/Sinop/H355/2015,MH513598,Bronzoni et al,unpublished,NA,permission_not_received,no
BR/Sinop/H366_2P/2015,MH513600,Bronzoni et al,unpublished,NA,permission_not_received,no
BR/Sinop/H366/2015,MH513599,Bronzoni et al,unpublished,NA,permission_not_received,no
Brazil_ZKV2015,KU497555,Calvet et al,previously_published,26897108,not_necessary,yes
Brazil/2016/INMI1,KU991811,Carletti et al,unpublished,NA,permission_not_received,no
Hsap_wt/PR/15/ARC1,MN171421,Chiu et al,unpublished,NA,not_necessary,yes
mex07/Mexico/2016,KY606272,Chiu et al,unpublished,NA,not_necessary,yes
mex39/Mexico/2016,KY606274,Chiu et al,unpublished,NA,not_necessary,yes
mex48/Mexico/2016,KY606273,Chiu et al,unpublished,NA,not_necessary,yes
SPH2015,KU321639,Cunha et al,previously_published,26941134,not_necessary,yes
GB_BR,KX830930,Delatorre et al,unpublished,NA,permission_not_received,no
GZ01,KU820898,Deng et al,previously_published,27105638,not_necessary,yes
SZ_WIV01,KU963796,Deng et al,previously_published,27105638,not_necessary,yes
SZ01/2016/China,KU866423,Deng et al,previously_published,27105638,not_necessary,yes
MEX/InDRE/2016,KU922923,Diaz-Quinonez et al,unpublished,NA,permission_not_received,no
Brazil/PE243/2015,KX197192,Donald et al,previously_published,27706161,not_necessary,yes
FB_GWUH_2016,KU870645,Driggers et al,previously_published,27028667,not_necessary,yes
V17271,KU758877,Enfissi et al,unpublished,NA,use_permission_granted,yes
Z1106033,KU312312,Enfissi et al,previously_published,26775124,not_necessary,yes
BeH818305,KU729218,Faria et al,previously_published,28538727,not_necessary,yes
BeH823339,KU729217,Faria et al,previously_published,28538727,not_necessary,yes
Brazil/2015/ZBRA105,KY558989,Faria et al,previously_published,28538727,not_necessary,yes
Brazil/2015/ZBRC301,KY558995,Faria et al,previously_published,28538727,not_necessary,yes
Brazil/2015/ZBRC302,KY558996,Faria et al,previously_published,28538727,not_necessary,yes
Brazil/2015/ZBRC313,KY558998,Faria et al,previously_published,28538727,not_necessary,yes
Brazil/2015/ZBRC321,KY559000,Faria et al,previously_published,28538727,not_necessary,yes
Brazil/2015/ZBRD103,KY559001,Faria et al,previously_published,28538727,not_necessary,yes
Brazil/2015/ZBRD107,KY559002,Faria et al,previously_published,28538727,not_necessary,yes
Brazil/2015/ZBRD116,KY559003,Faria et al,previously_published,28538727,not_necessary,yes
Brazil/2016/ZBRC14,KY558990,Faria et al,previously_published,28538727,not_necessary,yes
Brazil/2016/ZBRC28,KY558994,Faria et al,previously_published,28538727,not_necessary,yes
Brazil/2016/ZBRC319,KY558999,Faria et al,previously_published,28538727,not_necessary,yes
Brazil/2016/ZBRX1,KY559005,Faria et al,previously_published,28538727,not_necessary,yes
Brazil/2016/ZBRX100,KY559017,Faria et al,previously_published,28538727,not_necessary,yes
Brazil/2016/ZBRX102,KY559018,Faria et al,previously_published,28538727,not_necessary,yes
Brazil/2016/ZBRX103,KY559019,Faria et al,previously_published,28538727,not_necessary,yes
Brazil/2016/ZBRX106,KY559020,Faria et al,previously_published,28538727,not_necessary,yes
Brazil/2016/ZBRX11,KY559011,Faria et al,previously_published,28538727,not_necessary,yes
Brazil/2016/ZBRX12,KY559012,Faria et al,previously_published,28538727,not_necessary,yes
Brazil/2016/ZBRX127,KY559021,Faria et al,previously_published,28538727,not_necessary,yes
Brazil/2016/ZBRX128,KY559022,Faria et al,previously_published,28538727,not_necessary,yes
Brazil/2016/ZBRX13,KY559013,Faria et al,previously_published,28538727,not_necessary,yes
Brazil/2016/ZBRX130,KY559023,Faria et al,previously_published,28538727,not_necessary,yes
Brazil/2016/ZBRX137,KY559024,Faria et al,previously_published,28538727,not_necessary,yes
Brazil/2016/ZBRX15,KY559015,Faria et al,previously_published,28538727,not_necessary,yes
