index	country_pair
0	('canada', 'united_states')
1	('canada', 'bermuda')
2	('canada', 'mexico')
3	('canada', 'belize')
4	('canada', 'guatemala')
5	('canada', 'honduras')
6	('canada', 'el_salvador')
7	('canada', 'nicaragua')
8	('canada', 'costa_rica')
9	('canada', 'panama')
10	('canada', 'bahamas')
11	('canada', 'cuba')
12	('canada', 'turks_caicos_islands')
13	('canada', 'cayman_islands')
14	('canada', 'jamaica')
15	('canada', 'haiti')
16	('canada', 'dominican_republic')
17	('canada', 'puerto_rico')
18	('canada', 'united_states_virgin_islands')
19	('canada', 'saint_kitts_nevis')
20	('canada', 'antigua_barbuda')
21	('canada', 'guadeloupe')
22	('canada', 'dominica')
23	('canada', 'martinique')
24	('canada', 'saint_lucia')
25	('canada', 'saint_vincent_grenadines')
26	('canada', 'barbados')
27	('canada', 'grenada')
28	('canada', 'trinidad_tobago')
29	('canada', 'curacao')
30	('canada', 'aruba')
31	('canada', 'french_guiana')
32	('canada', 'suriname')
33	('canada', 'guyana')
34	('canada', 'venezuela')
35	('canada', 'colombia')
36	('canada', 'ecuador')
37	('canada', 'peru')
38	('canada', 'bolivia')
39	('canada', 'brazil')
40	('canada', 'paraguay')
41	('canada', 'uruguay')
42	('canada', 'argentina')
43	('canada', 'chile')
44	('united_states', 'bermuda')
45	('united_states', 'mexico')
46	('united_states', 'belize')
47	('united_states', 'guatemala')
48	('united_states', 'honduras')
49	('united_states', 'el_salvador')
50	('united_states', 'nicaragua')
51	('united_states', 'costa_rica')
52	('united_states', 'panama')
53	('united_states', 'bahamas')
54	('united_states', 'cuba')
55	('united_states', 'turks_caicos_islands')
56	('united_states', 'cayman_islands')
57	('united_states', 'jamaica')
58	('united_states', 'haiti')
59	('united_states', 'dominican_republic')
60	('united_states', 'puerto_rico')
61	('united_states', 'united_states_virgin_islands')
62	('united_states', 'saint_kitts_nevis')
63	('united_states', 'antigua_barbuda')
64	('united_states', 'guadeloupe')
65	('united_states', 'dominica')
66	('united_states', 'martinique')
67	('united_states', 'saint_lucia')
68	('united_states', 'saint_vincent_grenadines')
69	('united_states', 'barbados')
70	('united_states', 'grenada')
71	('united_states', 'trinidad_tobago')
72	('united_states', 'curacao')
73	('united_states', 'aruba')
74	('united_states', 'french_guiana')
75	('united_states', 'suriname')
76	('united_states', 'guyana')
77	('united_states', 'venezuela')
78	('united_states', 'colombia')
79	('united_states', 'ecuador')
80	('united_states', 'peru')
81	('united_states', 'bolivia')
82	('united_states', 'brazil')
83	('united_states', 'paraguay')
84	('united_states', 'uruguay')
85	('united_states', 'argentina')
86	('united_states', 'chile')
87	('bermuda', 'mexico')
88	('bermuda', 'belize')
89	('bermuda', 'guatemala')
90	('bermuda', 'honduras')
91	('bermuda', 'el_salvador')
92	('bermuda', 'nicaragua')
93	('bermuda', 'costa_rica')
94	('bermuda', 'panama')
95	('bermuda', 'bahamas')
96	('bermuda', 'cuba')
97	('bermuda', 'turks_caicos_islands')
98	('bermuda', 'cayman_islands')
99	('bermuda', 'jamaica')
100	('bermuda', 'haiti')
101	('bermuda', 'dominican_republic')
102	('bermuda', 'puerto_rico')
103	('bermuda', 'united_states_virgin_islands')
104	('bermuda', 'saint_kitts_nevis')
105	('bermuda', 'antigua_barbuda')
106	('bermuda', 'guadeloupe')
107	('bermuda', 'dominica')
108	('bermuda', 'martinique')
109	('bermuda', 'saint_lucia')
110	('bermuda', 'saint_vincent_grenadines')
111	('bermuda', 'barbados')
112	('bermuda', 'grenada')
113	('bermuda', 'trinidad_tobago')
114	('bermuda', 'curacao')
115	('bermuda', 'aruba')
116	('bermuda', 'french_guiana')
117	('bermuda', 'suriname')
118	('bermuda', 'guyana')
119	('bermuda', 'venezuela')
120	('bermuda', 'colombia')
121	('bermuda', 'ecuador')
122	('bermuda', 'peru')
123	('bermuda', 'bolivia')
124	('bermuda', 'brazil')
125	('bermuda', 'paraguay')
126	('bermuda', 'uruguay')
127	('bermuda', 'argentina')
128	('bermuda', 'chile')
129	('mexico', 'belize')
130	('mexico', 'guatemala')
131	('mexico', 'honduras')
132	('mexico', 'el_salvador')
133	('mexico', 'nicaragua')
134	('mexico', 'costa_rica')
135	('mexico', 'panama')
136	('mexico', 'bahamas')
137	('mexico', 'cuba')
138	('mexico', 'turks_caicos_islands')
139	('mexico', 'cayman_islands')
140	('mexico', 'jamaica')
141	('mexico', 'haiti')
142	('mexico', 'dominican_republic')
143	('mexico', 'puerto_rico')
144	('mexico', 'united_states_virgin_islands')
145	('mexico', 'saint_kitts_nevis')
146	('mexico', 'antigua_barbuda')
147	('mexico', 'guadeloupe')
148	('mexico', 'dominica')
149	('mexico', 'martinique')
150	('mexico', 'saint_lucia')
151	('mexico', 'saint_vincent_grenadines')
152	('mexico', 'barbados')
153	('mexico', 'grenada')
154	('mexico', 'trinidad_tobago')
155	('mexico', 'curacao')
156	('mexico', 'aruba')
157	('mexico', 'french_guiana')
158	('mexico', 'suriname')
159	('mexico', 'guyana')
160	('mexico', 'venezuela')
161	('mexico', 'colombia')
162	('mexico', 'ecuador')
163	('mexico', 'peru')
164	('mexico', 'bolivia')
165	('mexico', 'brazil')
166	('mexico', 'paraguay')
167	('mexico', 'uruguay')
168	('mexico', 'argentina')
169	('mexico', 'chile')
170	('belize', 'guatemala')
171	('belize', 'honduras')
172	('belize', 'el_salvador')
173	('belize', 'nicaragua')
174	('belize', 'costa_rica')
175	('belize', 'panama')
176	('belize', 'bahamas')
177	('belize', 'cuba')
178	('belize', 'turks_caicos_islands')
179	('belize', 'cayman_islands')
180	('belize', 'jamaica')
181	('belize', 'haiti')
182	('belize', 'dominican_republic')
183	('belize', 'puerto_rico')
184	('belize', 'united_states_virgin_islands')
185	('belize', 'saint_kitts_nevis')
186	('belize', 'antigua_barbuda')
187	('belize', 'guadeloupe')
188	('belize', 'dominica')
189	('belize', 'martinique')
190	('belize', 'saint_lucia')
191	('belize', 'saint_vincent_grenadines')
192	('belize', 'barbados')
193	('belize', 'grenada')
194	('belize', 'trinidad_tobago')
195	('belize', 'curacao')
196	('belize', 'aruba')
197	('belize', 'french_guiana')
198	('belize', 'suriname')
199	('belize', 'guyana')
200	('belize', 'venezuela')
201	('belize', 'colombia')
202	('belize', 'ecuador')
203	('belize', 'peru')
204	('belize', 'bolivia')
205	('belize', 'brazil')
206	('belize', 'paraguay')
207	('belize', 'uruguay')
208	('belize', 'argentina')
209	('belize', 'chile')
210	('guatemala', 'honduras')
211	('guatemala', 'el_salvador')
212	('guatemala', 'nicaragua')
213	('guatemala', 'costa_rica')
214	('guatemala', 'panama')
215	('guatemala', 'bahamas')
216	('guatemala', 'cuba')
217	('guatemala', 'turks_caicos_islands')
218	('guatemala', 'cayman_islands')
219	('guatemala', 'jamaica')
220	('guatemala', 'haiti')
221	('guatemala', 'dominican_republic')
222	('guatemala', 'puerto_rico')
223	('guatemala', 'united_states_virgin_islands')
224	('guatemala', 'saint_kitts_nevis')
225	('guatemala', 'antigua_barbuda')
226	('guatemala', 'guadeloupe')
227	('guatemala', 'dominica')
228	('guatemala', 'martinique')
229	('guatemala', 'saint_lucia')
230	('guatemala', 'saint_vincent_grenadines')
231	('guatemala', 'barbados')
232	('guatemala', 'grenada')
233	('guatemala', 'trinidad_tobago')
234	('guatemala', 'curacao')
235	('guatemala', 'aruba')
236	('guatemala', 'french_guiana')
237	('guatemala', 'suriname')
238	('guatemala', 'guyana')
239	('guatemala', 'venezuela')
240	('guatemala', 'colombia')
241	('guatemala', 'ecuador')
242	('guatemala', 'peru')
243	('guatemala', 'bolivia')
244	('guatemala', 'brazil')
245	('guatemala', 'paraguay')
