index	country_pair
246	('guatemala', 'uruguay')
247	('guatemala', 'argentina')
248	('guatemala', 'chile')
249	('honduras', 'el_salvador')
250	('honduras', 'nicaragua')
251	('honduras', 'costa_rica')
252	('honduras', 'panama')
253	('honduras', 'bahamas')
254	('honduras', 'cuba')
255	('honduras', 'turks_caicos_islands')
256	('honduras', 'cayman_islands')
257	('honduras', 'jamaica')
258	('honduras', 'haiti')
259	('honduras', 'dominican_republic')
260	('honduras', 'puerto_rico')
261	('honduras', 'united_states_virgin_islands')
262	('honduras', 'saint_kitts_nevis')
263	('honduras', 'antigua_barbuda')
264	('honduras', 'guadeloupe')
265	('honduras', 'dominica')
266	('honduras', 'martinique')
267	('honduras', 'saint_lucia')
268	('honduras', 'saint_vincent_grenadines')
269	('honduras', 'barbados')
270	('honduras', 'grenada')
271	('honduras', 'trinidad_tobago')
272	('honduras', 'curacao')
273	('honduras', 'aruba')
274	('honduras', 'french_guiana')
275	('honduras', 'suriname')
276	('honduras', 'guyana')
277	('honduras', 'venezuela')
278	('honduras', 'colombia')
279	('honduras', 'ecuador')
280	('honduras', 'peru')
281	('honduras', 'bolivia')
282	('honduras', 'brazil')
283	('honduras', 'paraguay')
284	('honduras', 'uruguay')
285	('honduras', 'argentina')
286	('honduras', 'chile')
287	('el_salvador', 'nicaragua')
288	('el_salvador', 'costa_rica')
289	('el_salvador', 'panama')
290	('el_salvador', 'bahamas')
291	('el_salvador', 'cuba')
292	('el_salvador', 'turks_caicos_islands')
293	('el_salvador', 'cayman_islands')
294	('el_salvador', 'jamaica')
295	('el_salvador', 'haiti')
296	('el_salvador', 'dominican_republic')
297	('el_salvador', 'puerto_rico')
298	('el_salvador', 'united_states_virgin_islands')
299	('el_salvador', 'saint_kitts_nevis')
300	('el_salvador', 'antigua_barbuda')
301	('el_salvador', 'guadeloupe')
302	('el_salvador', 'dominica')
303	('el_salvador', 'martinique')
304	('el_salvador', 'saint_lucia')
305	('el_salvador', 'saint_vincent_grenadines')
306	('el_salvador', 'barbados')
307	('el_salvador', 'grenada')
308	('el_salvador', 'trinidad_tobago')
309	('el_salvador', 'curacao')
310	('el_salvador', 'aruba')
311	('el_salvador', 'french_guiana')
312	('el_salvador', 'suriname')
313	('el_salvador', 'guyana')
314	('el_salvador', 'venezuela')
315	('el_salvador', 'colombia')
316	('el_salvador', 'ecuador')
317	('el_salvador', 'peru')
318	('el_salvador', 'bolivia')
319	('el_salvador', 'brazil')
320	('el_salvador', 'paraguay')
321	('el_salvador', 'uruguay')
322	('el_salvador', 'argentina')
323	('el_salvador', 'chile')
324	('nicaragua', 'costa_rica')
325	('nicaragua', 'panama')
326	('nicaragua', 'bahamas')
327	('nicaragua', 'cuba')
328	('nicaragua', 'turks_caicos_islands')
329	('nicaragua', 'cayman_islands')
330	('nicaragua', 'jamaica')
331	('nicaragua', 'haiti')
332	('nicaragua', 'dominican_republic')
333	('nicaragua', 'puerto_rico')
334	('nicaragua', 'united_states_virgin_islands')
335	('nicaragua', 'saint_kitts_nevis')
336	('nicaragua', 'antigua_barbuda')
337	('nicaragua', 'guadeloupe')
338	('nicaragua', 'dominica')
339	('nicaragua', 'martinique')
340	('nicaragua', 'saint_lucia')
341	('nicaragua', 'saint_vincent_grenadines')
342	('nicaragua', 'barbados')
343	('nicaragua', 'grenada')
344	('nicaragua', 'trinidad_tobago')
345	('nicaragua', 'curacao')
346	('nicaragua', 'aruba')
347	('nicaragua', 'french_guiana')
348	('nicaragua', 'suriname')
349	('nicaragua', 'guyana')
350	('nicaragua', 'venezuela')
351	('nicaragua', 'colombia')
352	('nicaragua', 'ecuador')
353	('nicaragua', 'peru')
354	('nicaragua', 'bolivia')
355	('nicaragua', 'brazil')
356	('nicaragua', 'paraguay')
357	('nicaragua', 'uruguay')
358	('nicaragua', 'argentina')
359	('nicaragua', 'chile')
360	('costa_rica', 'panama')
361	('costa_rica', 'bahamas')
362	('costa_rica', 'cuba')
363	('costa_rica', 'turks_caicos_islands')
364	('costa_rica', 'cayman_islands')
365	('costa_rica', 'jamaica')
366	('costa_rica', 'haiti')
367	('costa_rica', 'dominican_republic')
368	('costa_rica', 'puerto_rico')
369	('costa_rica', 'united_states_virgin_islands')
370	('costa_rica', 'saint_kitts_nevis')
371	('costa_rica', 'antigua_barbuda')
372	('costa_rica', 'guadeloupe')
373	('costa_rica', 'dominica')
374	('costa_rica', 'martinique')
375	('costa_rica', 'saint_lucia')
376	('costa_rica', 'saint_vincent_grenadines')
377	('costa_rica', 'barbados')
378	('costa_rica', 'grenada')
379	('costa_rica', 'trinidad_tobago')
380	('costa_rica', 'curacao')
381	('costa_rica', 'aruba')
382	('costa_rica', 'french_guiana')
383	('costa_rica', 'suriname')
384	('costa_rica', 'guyana')
385	('costa_rica', 'venezuela')
386	('costa_rica', 'colombia')
387	('costa_rica', 'ecuador')
388	('costa_rica', 'peru')
389	('costa_rica', 'bolivia')
390	('costa_rica', 'brazil')
391	('costa_rica', 'paraguay')
392	('costa_rica', 'uruguay')
393	('costa_rica', 'argentina')
394	('costa_rica', 'chile')
395	('panama', 'bahamas')
396	('panama', 'cuba')
397	('panama', 'turks_caicos_islands')
398	('panama', 'cayman_islands')
399	('panama', 'jamaica')
400	('panama', 'haiti')
401	('panama', 'dominican_republic')
402	('panama', 'puerto_rico')
403	('panama', 'united_states_virgin_islands')
404	('panama', 'saint_kitts_nevis')
405	('panama', 'antigua_barbuda')
406	('panama', 'guadeloupe')
407	('panama', 'dominica')
408	('panama', 'martinique')
409	('panama', 'saint_lucia')
410	('panama', 'saint_vincent_grenadines')
411	('panama', 'barbados')
412	('panama', 'grenada')
413	('panama', 'trinidad_tobago')
414	('panama', 'curacao')
415	('panama', 'aruba')
416	('panama', 'french_guiana')
417	('panama', 'suriname')
418	('panama', 'guyana')
419	('panama', 'venezuela')
420	('panama', 'colombia')
421	('panama', 'ecuador')
422	('panama', 'peru')
423	('panama', 'bolivia')
424	('panama', 'brazil')
425	('panama', 'paraguay')
426	('panama', 'uruguay')
427	('panama', 'argentina')
428	('panama', 'chile')
429	('bahamas', 'cuba')
430	('bahamas', 'turks_caicos_islands')
431	('bahamas', 'cayman_islands')
432	('bahamas', 'jamaica')
433	('bahamas', 'haiti')
434	('bahamas', 'dominican_republic')
435	('bahamas', 'puerto_rico')
436	('bahamas', 'united_states_virgin_islands')
437	('bahamas', 'saint_kitts_nevis')
438	('bahamas', 'antigua_barbuda')
439	('bahamas', 'guadeloupe')
440	('bahamas', 'dominica')
441	('bahamas', 'martinique')
442	('bahamas', 'saint_lucia')
443	('bahamas', 'saint_vincent_grenadines')
444	('bahamas', 'barbados')
445	('bahamas', 'grenada')
446	('bahamas', 'trinidad_tobago')
447	('bahamas', 'curacao')
448	('bahamas', 'aruba')
449	('bahamas', 'french_guiana')
450	('bahamas', 'suriname')
451	('bahamas', 'guyana')
452	('bahamas', 'venezuela')
453	('bahamas', 'colombia')
454	('bahamas', 'ecuador')
455	('bahamas', 'peru')
456	('bahamas', 'bolivia')
457	('bahamas', 'brazil')
458	('bahamas', 'paraguay')
459	('bahamas', 'uruguay')
460	('bahamas', 'argentina')
461	('bahamas', 'chile')
462	('cuba', 'turks_caicos_islands')
463	('cuba', 'cayman_islands')
464	('cuba', 'jamaica')
465	('cuba', 'haiti')
466	('cuba', 'dominican_republic')
467	('cuba', 'puerto_rico')
468	('cuba', 'united_states_virgin_islands')
469	('cuba', 'saint_kitts_nevis')
470	('cuba', 'antigua_barbuda')
471	('cuba', 'guadeloupe')
472	('cuba', 'dominica')
473	('cuba', 'martinique')
474	('cuba', 'saint_lucia')
475	('cuba', 'saint_vincent_grenadines')
476	('cuba', 'barbados')
477	('cuba', 'grenada')
478	('cuba', 'trinidad_tobago')
479	('cuba', 'curacao')
480	('cuba', 'aruba')
481	('cuba', 'french_guiana')
482	('cuba', 'suriname')
483	('cuba', 'guyana')
484	('cuba', 'venezuela')
485	('cuba', 'colombia')
486	('cuba', 'ecuador')
487	('cuba', 'peru')
488	('cuba', 'bolivia')
489	('cuba', 'brazil')
490	('cuba', 'paraguay')
491	('cuba', 'uruguay')
492	('cuba', 'argentina')
493	('cuba', 'chile')
494	('turks_caicos_islands', 'cayman_islands')
495	('turks_caicos_islands', 'jamaica')
496	('turks_caicos_islands', 'haiti')
497	('turks_caicos_islands', 'dominican_republic')
498	('turks_caicos_islands', 'puerto_rico')
499	('turks_caicos_islands', 'united_states_virgin_islands')
500	('turks_caicos_islands', 'saint_kitts_nevis')
501	('turks_caicos_islands', 'antigua_barbuda')
502	('turks_caicos_islands', 'guadeloupe')
503	('turks_caicos_islands', 'dominica')
504	('turks_caicos_islands', 'martinique')
505	('turks_caicos_islands', 'saint_lucia')
506	('turks_caicos_islands', 'saint_vincent_grenadines')
507	('turks_caicos_islands', 'barbados')
508	('turks_caicos_islands', 'grenada')
509	('turks_caicos_islands', 'trinidad_tobago')
510	('turks_caicos_islands', 'curacao')
511	('turks_caicos_islands', 'aruba')
512	('turks_caicos_islands', 'french_guiana')
513	('turks_caicos_islands', 'suriname')
514	('turks_caicos_islands', 'guyana')
515	('turks_caicos_islands', 'venezuela')
516	('turks_caicos_islands', 'colombia')
517	('turks_caicos_islands', 'ecuador')
518	('turks_caicos_islands', 'peru')
519	('turks_caicos_islands', 'bolivia')
520	('turks_caicos_islands', 'brazil')
521	('turks_caicos_islands', 'paraguay')
522	('turks_caicos_islands', 'uruguay')
523	('turks_caicos_islands', 'argentina')
524	('turks_caicos_islands', 'chile')
525	('cayman_islands', 'jamaica')
526	('cayman_islands', 'haiti')
527	('cayman_islands', 'dominican_republic')
528	('cayman_islands', 'puerto_rico')
529	('cayman_islands', 'united_states_virgin_islands')
530	('cayman_islands', 'saint_kitts_nevis')
531	('cayman_islands', 'antigua_barbuda')
532	('cayman_islands', 'guadeloupe')
533	('cayman_islands', 'dominica')
534	('cayman_islands', 'martinique')
535	('cayman_islands', 'saint_lucia')
536	('cayman_islands', 'saint_vincent_grenadines')
537	('cayman_islands', 'barbados')
538	('cayman_islands', 'grenada')
539	('cayman_islands', 'trinidad_tobago')
540	('cayman_islands', 'curacao')
541	('cayman_islands', 'aruba')
542	('cayman_islands', 'french_guiana')
543	('cayman_islands', 'suriname')
544	('cayman_islands', 'guyana')
545	('cayman_islands', 'venezuela')
546	('cayman_islands', 'colombia')
547	('cayman_islands', 'ecuador')
548	('cayman_islands', 'peru')
549	('cayman_islands', 'bolivia')
550	('cayman_islands', 'brazil')
551	('cayman_islands', 'paraguay')
552	('cayman_islands', 'uruguay')
553	('cayman_islands', 'argentina')
554	('cayman_islands', 'chile')
555	('jamaica', 'haiti')
556	('jamaica', 'dominican_republic')
557	('jamaica', 'puerto_rico')
558	('jamaica', 'united_states_virgin_islands')
559	('jamaica', 'saint_kitts_nevis')
560	('jamaica', 'antigua_barbuda')
561	('jamaica', 'guadeloupe')
562	('jamaica', 'dominica')
563	('jamaica', 'martinique')
564	('jamaica', 'saint_lucia')
565	('jamaica', 'saint_vincent_grenadines')
566	('jamaica', 'barbados')
567	('jamaica', 'grenada')
568	('jamaica', 'trinidad_tobago')
569	('jamaica', 'curacao')
570	('jamaica', 'aruba')
571	('jamaica', 'french_guiana')
572	('jamaica', 'suriname')
573	('jamaica', 'guyana')
574	('jamaica', 'venezuela')
575	('jamaica', 'colombia')
576	('jamaica', 'ecuador')
577	('jamaica', 'peru')
578	('jamaica', 'bolivia')
579	('jamaica', 'brazil')
580	('jamaica', 'paraguay')
581	('jamaica', 'uruguay')
582	('jamaica', 'argentina')
583	('jamaica', 'chile')
584	('haiti', 'dominican_republic')
585	('haiti', 'puerto_rico')
586	('haiti', 'united_states_virgin_islands')
587	('haiti', 'saint_kitts_nevis')
588	('haiti', 'antigua_barbuda')
589	('haiti', 'guadeloupe')
590	('haiti', 'dominica')
591	('haiti', 'martinique')
592	('haiti', 'saint_lucia')
593	('haiti', 'saint_vincent_grenadines')
594	('haiti', 'barbados')
595	('haiti', 'grenada')
596	('haiti', 'trinidad_tobago')
597	('haiti', 'curacao')
598	('haiti', 'aruba')
599	('haiti', 'french_guiana')
600	('haiti', 'suriname')
601	('haiti', 'guyana')
602	('haiti', 'venezuela')
603	('haiti', 'colombia')
604	('haiti', 'ecuador')
605	('haiti', 'peru')
606	('haiti', 'bolivia')
607	('haiti', 'brazil')
608	('haiti', 'paraguay')
609	('haiti', 'uruguay')
610	('haiti', 'argentina')
611	('haiti', 'chile')
612	('dominican_republic', 'puerto_rico')
613	('dominican_republic', 'united_states_virgin_islands')
614	('dominican_republic', 'saint_kitts_nevis')
615	('dominican_republic', 'antigua_barbuda')
616	('dominican_republic', 'guadeloupe')
617	('dominican_republic', 'dominica')
618	('dominican_republic', 'martinique')
619	('dominican_republic', 'saint_lucia')
620	('dominican_republic', 'saint_vincent_grenadines')
621	('dominican_republic', 'barbados')
622	('dominican_republic', 'grenada')
623	('dominican_republic', 'trinidad_tobago')
624	('dominican_republic', 'curacao')
625	('dominican_republic', 'aruba')
626	('dominican_republic', 'french_guiana')
627	('dominican_republic', 'suriname')
628	('dominican_republic', 'guyana')
629	('dominican_republic', 'venezuela')
630	('dominican_republic', 'colombia')
631	('dominican_republic', 'ecuador')
632	('dominican_republic', 'peru')
633	('dominican_republic', 'bolivia')
634	('dominican_republic', 'brazil')
635	('dominican_republic', 'paraguay')
636	('dominican_republic', 'uruguay')
637	('dominican_republic', 'argentina')
638	('dominican_republic', 'chile')
639	('puerto_rico', 'united_states_virgin_islands')
640	('puerto_rico', 'saint_kitts_nevis')
641	('puerto_rico', 'antigua_barbuda')
642	('puerto_rico', 'guadeloupe')
643	('puerto_rico', 'dominica')
644	('puerto_rico', 'martinique')
645	('puerto_rico', 'saint_lucia')
646	('puerto_rico', 'saint_vincent_grenadines')
647	('puerto_rico', 'barbados')
648	('puerto_rico', 'grenada')
649	('puerto_rico', 'trinidad_tobago')
650	('puerto_rico', 'curacao')
651	('puerto_rico', 'aruba')
652	('puerto_rico', 'french_guiana')
653	('puerto_rico', 'suriname')
654	('puerto_rico', 'guyana')
655	('puerto_rico', 'venezuela')
656	('puerto_rico', 'colombia')
657	('puerto_rico', 'ecuador')
658	('puerto_rico', 'peru')
659	('puerto_rico', 'bolivia')
660	('puerto_rico', 'brazil')
661	('puerto_rico', 'paraguay')
662	('puerto_rico', 'uruguay')
663	('puerto_rico', 'argentina')
664	('puerto_rico', 'chile')
665	('united_states_virgin_islands', 'saint_kitts_nevis')
666	('united_states_virgin_islands', 'antigua_barbuda')
667	('united_states_virgin_islands', 'guadeloupe')
668	('united_states_virgin_islands', 'dominica')
669	('united_states_virgin_islands', 'martinique')
670	('united_states_virgin_islands', 'saint_lucia')
671	('united_states_virgin_islands', 'saint_vincent_grenadines')
672	('united_states_virgin_islands', 'barbados')
673	('united_states_virgin_islands', 'grenada')
674	('united_states_virgin_islands', 'trinidad_tobago')
675	('united_states_virgin_islands', 'curacao')
676	('united_states_virgin_islands', 'aruba')
677	('united_states_virgin_islands', 'french_guiana')
678	('united_states_virgin_islands', 'suriname')
679	('united_states_virgin_islands', 'guyana')
680	('united_states_virgin_islands', 'venezuela')
681	('united_states_virgin_islands', 'colombia')
682	('united_states_virgin_islands', 'ecuador')
683	('united_states_virgin_islands', 'peru')
684	('united_states_virgin_islands', 'bolivia')
685	('united_states_virgin_islands', 'brazil')
686	('united_states_virgin_islands', 'paraguay')
687	('united_states_virgin_islands', 'uruguay')
688	('united_states_virgin_islands', 'argentina')
689	('united_states_virgin_islands', 'chile')
690	('saint_kitts_nevis', 'antigua_barbuda')
691	('saint_kitts_nevis', 'guadeloupe')
692	('saint_kitts_nevis', 'dominica')
693	('saint_kitts_nevis', 'martinique')
694	('saint_kitts_nevis', 'saint_lucia')
695	('saint_kitts_nevis', 'saint_vincent_grenadines')
696	('saint_kitts_nevis', 'barbados')
697	('saint_kitts_nevis', 'grenada')
698	('saint_kitts_nevis', 'trinidad_tobago')
699	('saint_kitts_nevis', 'curacao')
700	('saint_kitts_nevis', 'aruba')
701	('saint_kitts_nevis', 'french_guiana')
702	('saint_kitts_nevis', 'suriname')
703	('saint_kitts_nevis', 'guyana')
704	('saint_kitts_nevis', 'venezuela')
705	('saint_kitts_nevis', 'colombia')
706	('saint_kitts_nevis', 'ecuador')
707	('saint_kitts_nevis', 'peru')
708	('saint_kitts_nevis', 'bolivia')
709	('saint_kitts_nevis', 'brazil')
710	('saint_kitts_nevis', 'paraguay')
711	('saint_kitts_nevis', 'uruguay')
712	('saint_kitts_nevis', 'argentina')
713	('saint_kitts_nevis', 'chile')
714	('antigua_barbuda', 'guadeloupe')
715	('antigua_barbuda', 'dominica')
716	('antigua_barbuda', 'martinique')
717	('antigua_barbuda', 'saint_lucia')
718	('antigua_barbuda', 'saint_vincent_grenadines')
719	('antigua_barbuda', 'barbados')
720	('antigua_barbuda', 'grenada')
721	('antigua_barbuda', 'trinidad_tobago')
722	('antigua_barbuda', 'curacao')
723	('antigua_barbuda', 'aruba')
724	('antigua_barbuda', 'french_guiana')
725	('antigua_barbuda', 'suriname')
726	('antigua_barbuda', 'guyana')
727	('antigua_barbuda', 'venezuela')
728	('antigua_barbuda', 'colombia')
729	('antigua_barbuda', 'ecuador')
730	('antigua_barbuda', 'peru')
731	('antigua_barbuda', 'bolivia')
732	('antigua_barbuda', 'brazil')
733	('antigua_barbuda', 'paraguay')
734	('antigua_barbuda', 'uruguay')
735	('antigua_barbuda', 'argentina')
736	('antigua_barbuda', 'chile')
737	('guadeloupe', 'dominica')
738	('guadeloupe', 'martinique')
739	('guadeloupe', 'saint_lucia')
740	('guadeloupe', 'saint_vincent_grenadines')
741	('guadeloupe', 'barbados')
742	('guadeloupe', 'grenada')
743	('guadeloupe', 'trinidad_tobago')
744	('guadeloupe', 'curacao')
745	('guadeloupe', 'aruba')
746	('guadeloupe', 'french_guiana')
747	('guadeloupe', 'suriname')
748	('guadeloupe', 'guyana')
749	('guadeloupe', 'venezuela')
750	('guadeloupe', 'colombia')
751	('guadeloupe', 'ecuador')
752	('guadeloupe', 'peru')
753	('guadeloupe', 'bolivia')
754	('guadeloupe', 'brazil')
755	('guadeloupe', 'paraguay')
756	('guadeloupe', 'uruguay')
757	('guadeloupe', 'argentina')
758	('guadeloupe', 'chile')
759	('dominica', 'martinique')
760	('dominica', 'saint_lucia')
761	('dominica', 'saint_vincent_grenadines')
762	('dominica', 'barbados')
763	('dominica', 'grenada')
764	('dominica', 'trinidad_tobago')
765	('dominica', 'curacao')
766	('dominica', 'aruba')
767	('dominica', 'french_guiana')
768	('dominica', 'suriname')
769	('dominica', 'guyana')
770	('dominica', 'venezuela')
771	('dominica', 'colombia')
772	('dominica', 'ecuador')
773	('dominica', 'peru')
774	('dominica', 'bolivia')
775	('dominica', 'brazil')
776	('dominica', 'paraguay')
777	('dominica', 'uruguay')
778	('dominica', 'argentina')
779	('dominica', 'chile')
780	('martinique', 'saint_lucia')
781	('martinique', 'saint_vincent_grenadines')
782	('martinique', 'barbados')
783	('martinique', 'grenada')
784	('martinique', 'trinidad_tobago')
785	('martinique', 'curacao')
786	('martinique', 'aruba')
787	('martinique', 'french_guiana')
788	('martinique', 'suriname')
789	('martinique', 'guyana')
790	('martinique', 'venezuela')
791	('martinique', 'colombia')
792	('martinique', 'ecuador')
793	('martinique', 'peru')
794	('martinique', 'bolivia')
795	('martinique', 'brazil')
796	('martinique', 'paraguay')
797	('martinique', 'uruguay')
798	('martinique', 'argentina')
799	('martinique', 'chile')
800	('saint_lucia', 'saint_vincent_grenadines')
801	('saint_lucia', 'barbados')
802	('saint_lucia', 'grenada')
803	('saint_lucia', 'trinidad_tobago')
804	('saint_lucia', 'curacao')
805	('saint_lucia', 'aruba')
806	('saint_lucia', 'french_guiana')
807	('saint_lucia', 'suriname')
808	('saint_lucia', 'guyana')
809	('saint_lucia', 'venezuela')
810	('saint_lucia', 'colombia')
811	('saint_lucia', 'ecuador')
812	('saint_lucia', 'peru')
813	('saint_lucia', 'bolivia')
814	('saint_lucia', 'brazil')
815	('saint_lucia', 'paraguay')
816	('saint_lucia', 'uruguay')
