origin	destination	origin_pop_size
united_states	grenada	323995528.0
united_states	guadeloupe	323995528.0
united_states	antigua_barbuda	323995528.0
saint_vincent_grenadines	jamaica	102350.0
saint_vincent_grenadines	honduras	102350.0
saint_vincent_grenadines	colombia	102350.0
saint_vincent_grenadines	mexico	102350.0
saint_vincent_grenadines	saint_kitts_nevis	102350.0
saint_vincent_grenadines	united_states	102350.0
saint_vincent_grenadines	paraguay	102350.0
saint_vincent_grenadines	nicaragua	102350.0
saint_vincent_grenadines	barbados	102350.0
saint_vincent_grenadines	canada	102350.0
saint_vincent_grenadines	united_states_virgin_islands	102350.0
saint_vincent_grenadines	martinique	102350.0
saint_vincent_grenadines	peru	102350.0
saint_vincent_grenadines	curacao	102350.0
saint_vincent_grenadines	panama	102350.0
saint_vincent_grenadines	uruguay	102350.0
saint_vincent_grenadines	bahamas	102350.0
saint_vincent_grenadines	bermuda	102350.0
saint_vincent_grenadines	aruba	102350.0
saint_vincent_grenadines	suriname	102350.0
saint_vincent_grenadines	costa_rica	102350.0
saint_vincent_grenadines	bolivia	102350.0
saint_vincent_grenadines	venezuela	102350.0
saint_vincent_grenadines	french_guiana	102350.0
saint_vincent_grenadines	cayman_islands	102350.0
saint_vincent_grenadines	brazil	102350.0
saint_vincent_grenadines	trinidad_tobago	102350.0
saint_vincent_grenadines	dominican_republic	102350.0
saint_vincent_grenadines	cuba	102350.0
saint_vincent_grenadines	guatemala	102350.0
saint_vincent_grenadines	chile	102350.0
saint_vincent_grenadines	turks_caicos_islands	102350.0
saint_vincent_grenadines	haiti	102350.0
saint_vincent_grenadines	belize	102350.0
saint_vincent_grenadines	argentina	102350.0
saint_vincent_grenadines	dominica	102350.0
saint_vincent_grenadines	saint_lucia	102350.0
saint_vincent_grenadines	el_salvador	102350.0
saint_vincent_grenadines	puerto_rico	102350.0
saint_vincent_grenadines	ecuador	102350.0
saint_vincent_grenadines	guyana	102350.0
saint_vincent_grenadines	grenada	102350.0
saint_vincent_grenadines	guadeloupe	102350.0
saint_vincent_grenadines	antigua_barbuda	102350.0
paraguay	jamaica	6862812.0
paraguay	honduras	6862812.0
paraguay	colombia	6862812.0
paraguay	mexico	6862812.0
paraguay	saint_kitts_nevis	6862812.0
paraguay	united_states	6862812.0
paraguay	saint_vincent_grenadines	6862812.0
paraguay	nicaragua	6862812.0
paraguay	barbados	6862812.0
paraguay	canada	6862812.0
paraguay	united_states_virgin_islands	6862812.0
paraguay	martinique	6862812.0
paraguay	peru	6862812.0
paraguay	curacao	6862812.0
paraguay	panama	6862812.0
paraguay	uruguay	6862812.0
paraguay	bahamas	6862812.0
paraguay	bermuda	6862812.0
paraguay	aruba	6862812.0
paraguay	suriname	6862812.0
paraguay	costa_rica	6862812.0
paraguay	bolivia	6862812.0
paraguay	venezuela	6862812.0
paraguay	french_guiana	6862812.0
paraguay	cayman_islands	6862812.0
paraguay	brazil	6862812.0
paraguay	trinidad_tobago	6862812.0
paraguay	dominican_republic	6862812.0
paraguay	cuba	6862812.0
paraguay	guatemala	6862812.0
paraguay	chile	6862812.0
paraguay	turks_caicos_islands	6862812.0
paraguay	haiti	6862812.0
paraguay	belize	6862812.0
paraguay	argentina	6862812.0
paraguay	dominica	6862812.0
paraguay	saint_lucia	6862812.0
paraguay	el_salvador	6862812.0
paraguay	puerto_rico	6862812.0
paraguay	ecuador	6862812.0
paraguay	guyana	6862812.0
paraguay	grenada	6862812.0
paraguay	guadeloupe	6862812.0
paraguay	antigua_barbuda	6862812.0
nicaragua	jamaica	5966798.0
nicaragua	honduras	5966798.0
nicaragua	colombia	5966798.0
nicaragua	mexico	5966798.0
nicaragua	saint_kitts_nevis	5966798.0
nicaragua	united_states	5966798.0
nicaragua	saint_vincent_grenadines	5966798.0
nicaragua	paraguay	5966798.0
nicaragua	barbados	5966798.0
nicaragua	canada	5966798.0
nicaragua	united_states_virgin_islands	5966798.0
nicaragua	martinique	5966798.0
nicaragua	peru	5966798.0
nicaragua	curacao	5966798.0
nicaragua	panama	5966798.0
nicaragua	uruguay	5966798.0
nicaragua	bahamas	5966798.0
nicaragua	bermuda	5966798.0
nicaragua	aruba	5966798.0
nicaragua	suriname	5966798.0
nicaragua	costa_rica	5966798.0
nicaragua	bolivia	5966798.0
nicaragua	venezuela	5966798.0
nicaragua	french_guiana	5966798.0
nicaragua	cayman_islands	5966798.0
nicaragua	brazil	5966798.0
nicaragua	trinidad_tobago	5966798.0
nicaragua	dominican_republic	5966798.0
nicaragua	cuba	5966798.0
nicaragua	guatemala	5966798.0
nicaragua	chile	5966798.0
nicaragua	turks_caicos_islands	5966798.0
nicaragua	haiti	5966798.0
nicaragua	belize	5966798.0
nicaragua	argentina	5966798.0
nicaragua	dominica	5966798.0
nicaragua	saint_lucia	5966798.0
nicaragua	el_salvador	5966798.0
nicaragua	puerto_rico	5966798.0
nicaragua	ecuador	5966798.0
nicaragua	guyana	5966798.0
nicaragua	grenada	5966798.0
nicaragua	guadeloupe	5966798.0
nicaragua	antigua_barbuda	5966798.0
barbados	jamaica	291495.0
barbados	honduras	291495.0
barbados	colombia	291495.0
barbados	mexico	291495.0
barbados	saint_kitts_nevis	291495.0
barbados	united_states	291495.0
barbados	saint_vincent_grenadines	291495.0
barbados	paraguay	291495.0
barbados	nicaragua	291495.0
barbados	canada	291495.0
barbados	united_states_virgin_islands	291495.0
barbados	martinique	291495.0
barbados	peru	291495.0
barbados	curacao	291495.0
barbados	panama	291495.0
barbados	uruguay	291495.0
barbados	bahamas	291495.0
barbados	bermuda	291495.0
barbados	aruba	291495.0
barbados	suriname	291495.0
barbados	costa_rica	291495.0
barbados	bolivia	291495.0
barbados	venezuela	291495.0
barbados	french_guiana	291495.0
barbados	cayman_islands	291495.0
barbados	brazil	291495.0
barbados	trinidad_tobago	291495.0
barbados	dominican_republic	291495.0
barbados	cuba	291495.0
barbados	guatemala	291495.0
barbados	chile	291495.0
barbados	turks_caicos_islands	291495.0
barbados	haiti	291495.0
barbados	belize	291495.0
barbados	argentina	291495.0
barbados	dominica	291495.0
barbados	saint_lucia	291495.0
barbados	el_salvador	291495.0
barbados	puerto_rico	291495.0
barbados	ecuador	291495.0
barbados	guyana	291495.0
barbados	grenada	291495.0
barbados	guadeloupe	291495.0
barbados	antigua_barbuda	291495.0
canada	jamaica	35362905.0
canada	honduras	35362905.0
canada	colombia	35362905.0
canada	mexico	35362905.0
canada	saint_kitts_nevis	35362905.0
canada	united_states	35362905.0
canada	saint_vincent_grenadines	35362905.0
canada	paraguay	35362905.0
canada	nicaragua	35362905.0
canada	barbados	35362905.0
canada	united_states_virgin_islands	35362905.0
canada	martinique	35362905.0
canada	peru	35362905.0
canada	curacao	35362905.0
canada	panama	35362905.0
canada	uruguay	35362905.0
canada	bahamas	35362905.0
canada	bermuda	35362905.0
canada	aruba	35362905.0
canada	suriname	35362905.0
canada	costa_rica	35362905.0
canada	bolivia	35362905.0
canada	venezuela	35362905.0
canada	french_guiana	35362905.0
canada	cayman_islands	35362905.0
canada	brazil	35362905.0
canada	trinidad_tobago	35362905.0
canada	dominican_republic	35362905.0
canada	cuba	35362905.0
canada	guatemala	35362905.0
canada	chile	35362905.0
canada	turks_caicos_islands	35362905.0
canada	haiti	35362905.0
canada	belize	35362905.0
canada	argentina	35362905.0
