origin	destination	origin_urban_proportion
canada	united_states	0.82006
canada	bermuda	0.82006
canada	mexico	0.82006
canada	belize	0.82006
canada	guatemala	0.82006
canada	honduras	0.82006
canada	el_salvador	0.82006
canada	nicaragua	0.82006
canada	costa_rica	0.82006
canada	panama	0.82006
canada	bahamas	0.82006
canada	cuba	0.82006
canada	turks_caicos_islands	0.82006
canada	cayman_islands	0.82006
canada	jamaica	0.82006
canada	haiti	0.82006
canada	dominican_republic	0.82006
canada	puerto_rico	0.82006
canada	united_states_virgin_islands	0.82006
canada	saint_kitts_nevis	0.82006
canada	antigua_barbuda	0.82006
canada	guadeloupe	0.82006
canada	dominica	0.82006
canada	martinique	0.82006
canada	saint_lucia	0.82006
canada	saint_vincent_grenadines	0.82006
canada	barbados	0.82006
canada	grenada	0.82006
canada	trinidad_tobago	0.82006
canada	curacao	0.82006
canada	aruba	0.82006
canada	french_guiana	0.82006
canada	suriname	0.82006
canada	guyana	0.82006
canada	venezuela	0.82006
canada	colombia	0.82006
canada	ecuador	0.82006
canada	peru	0.82006
canada	bolivia	0.82006
canada	brazil	0.82006
canada	paraguay	0.82006
canada	uruguay	0.82006
canada	argentina	0.82006
canada	chile	0.82006
united_states	canada	0.81788
united_states	bermuda	0.81788
united_states	mexico	0.81788
united_states	belize	0.81788
united_states	guatemala	0.81788
united_states	honduras	0.81788
united_states	el_salvador	0.81788
united_states	nicaragua	0.81788
united_states	costa_rica	0.81788
united_states	panama	0.81788
united_states	bahamas	0.81788
united_states	cuba	0.81788
united_states	turks_caicos_islands	0.81788
united_states	cayman_islands	0.81788
united_states	jamaica	0.81788
united_states	haiti	0.81788
united_states	dominican_republic	0.81788
united_states	puerto_rico	0.81788
united_states	united_states_virgin_islands	0.81788
united_states	saint_kitts_nevis	0.81788
united_states	antigua_barbuda	0.81788
united_states	guadeloupe	0.81788
united_states	dominica	0.81788
united_states	martinique	0.81788
united_states	saint_lucia	0.81788
united_states	saint_vincent_grenadines	0.81788
united_states	barbados	0.81788
united_states	grenada	0.81788
united_states	trinidad_tobago	0.81788
united_states	curacao	0.81788
