origin	destination	destination_urban_proportion
nicaragua	dominican_republic	0.79841
nicaragua	puerto_rico	0.93569
nicaragua	united_states_virgin_islands	0.95459
nicaragua	saint_kitts_nevis	0.32153
nicaragua	antigua_barbuda	0.23393
nicaragua	guadeloupe	0.984
nicaragua	dominica	0.6982
nicaragua	martinique	0.889
nicaragua	saint_lucia	0.1854
nicaragua	saint_vincent_grenadines	0.50899
nicaragua	barbados	0.31415
nicaragua	grenada	0.35616
nicaragua	trinidad_tobago	0.08352
nicaragua	curacao	0.89241
nicaragua	aruba	0.41304
nicaragua	french_guiana	0.844
nicaragua	suriname	0.66015
nicaragua	guyana	0.28661
nicaragua	venezuela	0.89043
nicaragua	colombia	0.76708
nicaragua	ecuador	0.63976
nicaragua	peru	0.78924
nicaragua	bolivia	0.68911
nicaragua	brazil	0.85933
nicaragua	paraguay	0.59924
nicaragua	uruguay	0.9546
nicaragua	argentina	0.91893
nicaragua	chile	0.89697
costa_rica	canada	0.82006
costa_rica	united_states	0.81788
costa_rica	bermuda	1.0
costa_rica	mexico	0.79517
costa_rica	belize	0.43845
costa_rica	guatemala	0.5203
costa_rica	honduras	0.55315
costa_rica	el_salvador	0.67189
costa_rica	nicaragua	0.59107
costa_rica	panama	0.66895
costa_rica	bahamas	0.82951
costa_rica	cuba	0.77184
costa_rica	turks_caicos_islands	0.92502
costa_rica	cayman_islands	1.0
costa_rica	jamaica	0.5503
costa_rica	haiti	0.59794
costa_rica	dominican_republic	0.79841
costa_rica	puerto_rico	0.93569
costa_rica	united_states_virgin_islands	0.95459
costa_rica	saint_kitts_nevis	0.32153
costa_rica	antigua_barbuda	0.23393
costa_rica	guadeloupe	0.984
costa_rica	dominica	0.6982
costa_rica	martinique	0.889
costa_rica	saint_lucia	0.1854
costa_rica	saint_vincent_grenadines	0.50899
costa_rica	barbados	0.31415
costa_rica	grenada	0.35616
costa_rica	trinidad_tobago	0.08352
costa_rica	curacao	0.89241
costa_rica	aruba	0.41304
costa_rica	french_guiana	0.844
costa_rica	suriname	0.66015
costa_rica	guyana	0.28661
costa_rica	venezuela	0.89043
costa_rica	colombia	0.76708
costa_rica	ecuador	0.63976
costa_rica	peru	0.78924
costa_rica	bolivia	0.68911
costa_rica	brazil	0.85933
costa_rica	paraguay	0.59924
costa_rica	uruguay	0.9546
costa_rica	argentina	0.91893
costa_rica	chile	0.89697
panama	canada	0.82006
panama	united_states	0.81788
panama	bermuda	1.0
panama	mexico	0.79517
panama	belize	0.43845
panama	guatemala	0.5203
panama	honduras	0.55315
panama	el_salvador	0.67189
panama	nicaragua	0.59107
panama	costa_rica	0.77675
panama	bahamas	0.82951
panama	cuba	0.77184
panama	turks_caicos_islands	0.92502
panama	cayman_islands	1.0
panama	jamaica	0.5503
panama	haiti	0.59794
panama	dominican_republic	0.79841
panama	puerto_rico	0.93569
panama	united_states_virgin_islands	0.95459
panama	saint_kitts_nevis	0.32153
panama	antigua_barbuda	0.23393
panama	guadeloupe	0.984
panama	dominica	0.6982
panama	martinique	0.889
panama	saint_lucia	0.1854
panama	saint_vincent_grenadines	0.50899
panama	barbados	0.31415
panama	grenada	0.35616
panama	trinidad_tobago	0.08352
panama	curacao	0.89241
panama	aruba	0.41304
panama	french_guiana	0.844
panama	suriname	0.66015
panama	guyana	0.28661
panama	venezuela	0.89043
panama	colombia	0.76708
panama	ecuador	0.63976
panama	peru	0.78924
panama	bolivia	0.68911
panama	brazil	0.85933
panama	paraguay	0.59924
panama	uruguay	0.9546
panama	argentina	0.91893
panama	chile	0.89697
bahamas	canada	0.82006
bahamas	united_states	0.81788
bahamas	bermuda	1.0
bahamas	mexico	0.79517
bahamas	belize	0.43845
bahamas	guatemala	0.5203
bahamas	honduras	0.55315
bahamas	el_salvador	0.67189
bahamas	nicaragua	0.59107
bahamas	costa_rica	0.77675
bahamas	panama	0.66895
bahamas	cuba	0.77184
bahamas	turks_caicos_islands	0.92502
bahamas	cayman_islands	1.0
bahamas	jamaica	0.5503
bahamas	haiti	0.59794
bahamas	dominican_republic	0.79841
bahamas	puerto_rico	0.93569
bahamas	united_states_virgin_islands	0.95459
bahamas	saint_kitts_nevis	0.32153
bahamas	antigua_barbuda	0.23393
bahamas	guadeloupe	0.984
bahamas	dominica	0.6982
bahamas	martinique	0.889
bahamas	saint_lucia	0.1854
bahamas	saint_vincent_grenadines	0.50899
bahamas	barbados	0.31415
bahamas	grenada	0.35616
bahamas	trinidad_tobago	0.08352
bahamas	curacao	0.89241
bahamas	aruba	0.41304
bahamas	french_guiana	0.844
bahamas	suriname	0.66015
bahamas	guyana	0.28661
bahamas	venezuela	0.89043
bahamas	colombia	0.76708
bahamas	ecuador	0.63976
bahamas	peru	0.78924
bahamas	bolivia	0.68911
bahamas	brazil	0.85933
bahamas	paraguay	0.59924
bahamas	uruguay	0.9546
bahamas	argentina	0.91893
bahamas	chile	0.89697
cuba	canada	0.82006
cuba	united_states	0.81788
cuba	bermuda	1.0
cuba	mexico	0.79517
cuba	belize	0.43845
cuba	guatemala	0.5203
cuba	honduras	0.55315
cuba	el_salvador	0.67189
cuba	nicaragua	0.59107
cuba	costa_rica	0.77675
cuba	panama	0.66895
cuba	bahamas	0.82951
cuba	turks_caicos_islands	0.92502
cuba	cayman_islands	1.0
cuba	jamaica	0.5503
cuba	haiti	0.59794
cuba	dominican_republic	0.79841
cuba	puerto_rico	0.93569
cuba	united_states_virgin_islands	0.95459
cuba	saint_kitts_nevis	0.32153
cuba	antigua_barbuda	0.23393
cuba	guadeloupe	0.984
cuba	dominica	0.6982
cuba	martinique	0.889
cuba	saint_lucia	0.1854
cuba	saint_vincent_grenadines	0.50899
cuba	barbados	0.31415
cuba	grenada	0.35616
cuba	trinidad_tobago	0.08352
cuba	curacao	0.89241
cuba	aruba	0.41304
cuba	french_guiana	0.844
cuba	suriname	0.66015
cuba	guyana	0.28661
cuba	venezuela	0.89043
cuba	colombia	0.76708
cuba	ecuador	0.63976
cuba	peru	0.78924
cuba	bolivia	0.68911
cuba	brazil	0.85933
cuba	paraguay	0.59924
cuba	uruguay	0.9546
cuba	argentina	0.91893
cuba	chile	0.89697
turks_caicos_islands	canada	0.82006
turks_caicos_islands	united_states	0.81788
turks_caicos_islands	bermuda	1.0
turks_caicos_islands	mexico	0.79517
turks_caicos_islands	belize	0.43845
turks_caicos_islands	guatemala	0.5203
turks_caicos_islands	honduras	0.55315
turks_caicos_islands	el_salvador	0.67189
turks_caicos_islands	nicaragua	0.59107
turks_caicos_islands	costa_rica	0.77675
turks_caicos_islands	panama	0.66895
turks_caicos_islands	bahamas	0.82951
turks_caicos_islands	cuba	0.77184
turks_caicos_islands	cayman_islands	1.0
turks_caicos_islands	jamaica	0.5503
turks_caicos_islands	haiti	0.59794
turks_caicos_islands	dominican_republic	0.79841
turks_caicos_islands	puerto_rico	0.93569
turks_caicos_islands	united_states_virgin_islands	0.95459
turks_caicos_islands	saint_kitts_nevis	0.32153
turks_caicos_islands	antigua_barbuda	0.23393
turks_caicos_islands	guadeloupe	0.984
turks_caicos_islands	dominica	0.6982
turks_caicos_islands	martinique	0.889
turks_caicos_islands	saint_lucia	0.1854
turks_caicos_islands	saint_vincent_grenadines	0.50899
turks_caicos_islands	barbados	0.31415
turks_caicos_islands	grenada	0.35616
turks_caicos_islands	trinidad_tobago	0.08352
turks_caicos_islands	curacao	0.89241
turks_caicos_islands	aruba	0.41304
turks_caicos_islands	french_guiana	0.844
turks_caicos_islands	suriname	0.66015
turks_caicos_islands	guyana	0.28661
turks_caicos_islands	venezuela	0.89043
turks_caicos_islands	colombia	0.76708
turks_caicos_islands	ecuador	0.63976
turks_caicos_islands	peru	0.78924
turks_caicos_islands	bolivia	0.68911
turks_caicos_islands	brazil	0.85933
turks_caicos_islands	paraguay	0.59924
turks_caicos_islands	uruguay	0.9546
turks_caicos_islands	argentina	0.91893
turks_caicos_islands	chile	0.89697
cayman_islands	canada	0.82006
cayman_islands	united_states	0.81788
cayman_islands	bermuda	1.0
cayman_islands	mexico	0.79517
cayman_islands	belize	0.43845
cayman_islands	guatemala	0.5203
cayman_islands	honduras	0.55315
cayman_islands	el_salvador	0.67189
cayman_islands	nicaragua	0.59107
cayman_islands	costa_rica	0.77675
cayman_islands	panama	0.66895
cayman_islands	bahamas	0.82951
cayman_islands	cuba	0.77184
cayman_islands	turks_caicos_islands	0.92502
cayman_islands	jamaica	0.5503
cayman_islands	haiti	0.59794
cayman_islands	dominican_republic	0.79841
cayman_islands	puerto_rico	0.93569
cayman_islands	united_states_virgin_islands	0.95459
cayman_islands	saint_kitts_nevis	0.32153
cayman_islands	antigua_barbuda	0.23393
cayman_islands	guadeloupe	0.984
cayman_islands	dominica	0.6982
cayman_islands	martinique	0.889
cayman_islands	saint_lucia	0.1854
cayman_islands	saint_vincent_grenadines	0.50899
cayman_islands	barbados	0.31415
cayman_islands	grenada	0.35616
cayman_islands	trinidad_tobago	0.08352
cayman_islands	curacao	0.89241
cayman_islands	aruba	0.41304
cayman_islands	french_guiana	0.844
cayman_islands	suriname	0.66015
cayman_islands	guyana	0.28661
cayman_islands	venezuela	0.89043
cayman_islands	colombia	0.76708
cayman_islands	ecuador	0.63976
cayman_islands	peru	0.78924
cayman_islands	bolivia	0.68911
cayman_islands	brazil	0.85933
cayman_islands	paraguay	0.59924
cayman_islands	uruguay	0.9546
cayman_islands	argentina	0.91893
cayman_islands	chile	0.89697
jamaica	canada	0.82006
jamaica	united_states	0.81788
jamaica	bermuda	1.0
jamaica	mexico	0.79517
jamaica	belize	0.43845
jamaica	guatemala	0.5203
jamaica	honduras	0.55315
jamaica	el_salvador	0.67189
jamaica	nicaragua	0.59107
jamaica	costa_rica	0.77675
jamaica	panama	0.66895
jamaica	bahamas	0.82951
jamaica	cuba	0.77184
jamaica	turks_caicos_islands	0.92502
jamaica	cayman_islands	1.0
jamaica	haiti	0.59794
jamaica	dominican_republic	0.79841
jamaica	puerto_rico	0.93569
jamaica	united_states_virgin_islands	0.95459
jamaica	saint_kitts_nevis	0.32153
jamaica	antigua_barbuda	0.23393
jamaica	guadeloupe	0.984
jamaica	dominica	0.6982
jamaica	martinique	0.889
jamaica	saint_lucia	0.1854
jamaica	saint_vincent_grenadines	0.50899
jamaica	barbados	0.31415
jamaica	grenada	0.35616
jamaica	trinidad_tobago	0.08352
jamaica	curacao	0.89241
jamaica	aruba	0.41304
jamaica	french_guiana	0.844
jamaica	suriname	0.66015
jamaica	guyana	0.28661
jamaica	venezuela	0.89043
jamaica	colombia	0.76708
jamaica	ecuador	0.63976
jamaica	peru	0.78924
jamaica	bolivia	0.68911
jamaica	brazil	0.85933
jamaica	paraguay	0.59924
jamaica	uruguay	0.9546
jamaica	argentina	0.91893
jamaica	chile	0.89697
haiti	canada	0.82006
haiti	united_states	0.81788
haiti	bermuda	1.0
haiti	mexico	0.79517
haiti	belize	0.43845
haiti	guatemala	0.5203
haiti	honduras	0.55315
haiti	el_salvador	0.67189
haiti	nicaragua	0.59107
haiti	costa_rica	0.77675
haiti	panama	0.66895
haiti	bahamas	0.82951
haiti	cuba	0.77184
haiti	turks_caicos_islands	0.92502
haiti	cayman_islands	1.0
haiti	jamaica	0.5503
haiti	dominican_republic	0.79841
haiti	puerto_rico	0.93569
haiti	united_states_virgin_islands	0.95459
haiti	saint_kitts_nevis	0.32153
haiti	antigua_barbuda	0.23393
haiti	guadeloupe	0.984
haiti	dominica	0.6982
haiti	martinique	0.889
haiti	saint_lucia	0.1854
haiti	saint_vincent_grenadines	0.50899
haiti	barbados	0.31415
haiti	grenada	0.35616
haiti	trinidad_tobago	0.08352
haiti	curacao	0.89241
haiti	aruba	0.41304
haiti	french_guiana	0.844
haiti	suriname	0.66015
haiti	guyana	0.28661
haiti	venezuela	0.89043
haiti	colombia	0.76708
haiti	ecuador	0.63976
haiti	peru	0.78924
haiti	bolivia	0.68911
haiti	brazil	0.85933
haiti	paraguay	0.59924
haiti	uruguay	0.9546
haiti	argentina	0.91893
haiti	chile	0.89697
dominican_republic	canada	0.82006
dominican_republic	united_states	0.81788
dominican_republic	bermuda	1.0
dominican_republic	mexico	0.79517
dominican_republic	belize	0.43845
dominican_republic	guatemala	0.5203
dominican_republic	honduras	0.55315
dominican_republic	el_salvador	0.67189
dominican_republic	nicaragua	0.59107
dominican_republic	costa_rica	0.77675
dominican_republic	panama	0.66895
dominican_republic	bahamas	0.82951
dominican_republic	cuba	0.77184
dominican_republic	turks_caicos_islands	0.92502
dominican_republic	cayman_islands	1.0
dominican_republic	jamaica	0.5503
dominican_republic	haiti	0.59794
dominican_republic	puerto_rico	0.93569
dominican_republic	united_states_virgin_islands	0.95459
dominican_republic	saint_kitts_nevis	0.32153
dominican_republic	antigua_barbuda	0.23393
dominican_republic	guadeloupe	0.984
dominican_republic	dominica	0.6982
dominican_republic	martinique	0.889
dominican_republic	saint_lucia	0.1854
dominican_republic	saint_vincent_grenadines	0.50899
dominican_republic	barbados	0.31415
dominican_republic	grenada	0.35616
dominican_republic	trinidad_tobago	0.08352
dominican_republic	curacao	0.89241
dominican_republic	aruba	0.41304
dominican_republic	french_guiana	0.844
dominican_republic	suriname	0.66015
dominican_republic	guyana	0.28661
dominican_republic	venezuela	0.89043
dominican_republic	colombia	0.76708
dominican_republic	ecuador	0.63976
dominican_republic	peru	0.78924
dominican_republic	bolivia	0.68911
dominican_republic	brazil	0.85933
dominican_republic	paraguay	0.59924
dominican_republic	uruguay	0.9546
dominican_republic	argentina	0.91893
dominican_republic	chile	0.89697
puerto_rico	canada	0.82006
puerto_rico	united_states	0.81788
puerto_rico	bermuda	1.0
puerto_rico	mexico	0.79517
puerto_rico	belize	0.43845
puerto_rico	guatemala	0.5203
puerto_rico	honduras	0.55315
puerto_rico	el_salvador	0.67189
puerto_rico	nicaragua	0.59107
puerto_rico	costa_rica	0.77675
puerto_rico	panama	0.66895
puerto_rico	bahamas	0.82951
puerto_rico	cuba	0.77184
puerto_rico	turks_caicos_islands	0.92502
puerto_rico	cayman_islands	1.0
puerto_rico	jamaica	0.5503
puerto_rico	haiti	0.59794
puerto_rico	dominican_republic	0.79841
puerto_rico	united_states_virgin_islands	0.95459
puerto_rico	saint_kitts_nevis	0.32153
puerto_rico	antigua_barbuda	0.23393
puerto_rico	guadeloupe	0.984
puerto_rico	dominica	0.6982
puerto_rico	martinique	0.889
puerto_rico	saint_lucia	0.1854
puerto_rico	saint_vincent_grenadines	0.50899
puerto_rico	barbados	0.31415
puerto_rico	grenada	0.35616
puerto_rico	trinidad_tobago	0.08352
puerto_rico	curacao	0.89241
puerto_rico	aruba	0.41304
puerto_rico	french_guiana	0.844
puerto_rico	suriname	0.66015
puerto_rico	guyana	0.28661
puerto_rico	venezuela	0.89043
puerto_rico	colombia	0.76708
puerto_rico	ecuador	0.63976
puerto_rico	peru	0.78924
puerto_rico	bolivia	0.68911
puerto_rico	brazil	0.85933
puerto_rico	paraguay	0.59924
puerto_rico	uruguay	0.9546
puerto_rico	argentina	0.91893
puerto_rico	chile	0.89697
united_states_virgin_islands	canada	0.82006
united_states_virgin_islands	united_states	0.81788
united_states_virgin_islands	bermuda	1.0
united_states_virgin_islands	mexico	0.79517
united_states_virgin_islands	belize	0.43845
united_states_virgin_islands	guatemala	0.5203
united_states_virgin_islands	honduras	0.55315
united_states_virgin_islands	el_salvador	0.67189
united_states_virgin_islands	nicaragua	0.59107
united_states_virgin_islands	costa_rica	0.77675
united_states_virgin_islands	panama	0.66895
united_states_virgin_islands	bahamas	0.82951
united_states_virgin_islands	cuba	0.77184
united_states_virgin_islands	turks_caicos_islands	0.92502
united_states_virgin_islands	cayman_islands	1.0
united_states_virgin_islands	jamaica	0.5503
united_states_virgin_islands	haiti	0.59794
united_states_virgin_islands	dominican_republic	0.79841
united_states_virgin_islands	puerto_rico	0.93569
united_states_virgin_islands	saint_kitts_nevis	0.32153
united_states_virgin_islands	antigua_barbuda	0.23393
united_states_virgin_islands	guadeloupe	0.984
united_states_virgin_islands	dominica	0.6982
united_states_virgin_islands	martinique	0.889
united_states_virgin_islands	saint_lucia	0.1854
united_states_virgin_islands	saint_vincent_grenadines	0.50899
united_states_virgin_islands	barbados	0.31415
united_states_virgin_islands	grenada	0.35616
united_states_virgin_islands	trinidad_tobago	0.08352
united_states_virgin_islands	curacao	0.89241
united_states_virgin_islands	aruba	0.41304
united_states_virgin_islands	french_guiana	0.844
united_states_virgin_islands	suriname	0.66015
united_states_virgin_islands	guyana	0.28661
united_states_virgin_islands	venezuela	0.89043
united_states_virgin_islands	colombia	0.76708
united_states_virgin_islands	ecuador	0.63976
united_states_virgin_islands	peru	0.78924
united_states_virgin_islands	bolivia	0.68911
united_states_virgin_islands	brazil	0.85933
united_states_virgin_islands	paraguay	0.59924
united_states_virgin_islands	uruguay	0.9546
united_states_virgin_islands	argentina	0.91893
united_states_virgin_islands	chile	0.89697
saint_kitts_nevis	canada	0.82006
saint_kitts_nevis	united_states	0.81788
saint_kitts_nevis	bermuda	1.0
