origin	destination	destination_population_size
canada	united_states	326625791.0
canada	bermuda	70864.0
canada	mexico	124574795.0
canada	belize	360346.0
canada	guatemala	15460732.0
canada	honduras	9038741.0
canada	el_salvador	6172011.0
canada	nicaragua	6025951.0
canada	costa_rica	4930258.0
canada	panama	3753142.0
canada	bahamas	329988.0
canada	cuba	11147407.0
canada	turks_caicos_islands	52570.0
canada	cayman_islands	58441.0
canada	jamaica	2990561.0
canada	haiti	10646714.0
canada	dominican_republic	10734247.0
canada	puerto_rico	3351827.0
canada	united_states_virgin_islands	107268.0
canada	saint_kitts_nevis	52715.0
canada	antigua_barbuda	94731.0
canada	guadeloupe	402119.0
canada	dominica	73897.0
canada	martinique	385551.0
canada	saint_lucia	164994.0
canada	saint_vincent_grenadines	102089.0
canada	barbados	292336.0
canada	grenada	111724.0
canada	trinidad_tobago	1218208.0
canada	curacao	149648.0
canada	aruba	115120.0
canada	french_guiana	252338.0
canada	suriname	591919.0
canada	guyana	737718.0
canada	venezuela	31304016.0
canada	colombia	47698524.0
canada	ecuador	16290913.0
canada	peru	31036656.0
canada	bolivia	11138234.0
canada	brazil	207353391.0
canada	paraguay	6943739.0
canada	uruguay	3360148.0
canada	argentina	44293293.0
canada	chile	17789267.0
united_states	canada	35623680.0
united_states	bermuda	70864.0
united_states	mexico	124574795.0
united_states	belize	360346.0
united_states	guatemala	15460732.0
united_states	honduras	9038741.0
united_states	el_salvador	6172011.0
united_states	nicaragua	6025951.0
united_states	costa_rica	4930258.0
united_states	panama	3753142.0
united_states	bahamas	329988.0
united_states	cuba	11147407.0
united_states	turks_caicos_islands	52570.0
united_states	cayman_islands	58441.0
united_states	jamaica	2990561.0
united_states	haiti	10646714.0
united_states	dominican_republic	10734247.0
united_states	puerto_rico	3351827.0
united_states	united_states_virgin_islands	107268.0
united_states	saint_kitts_nevis	52715.0
united_states	antigua_barbuda	94731.0
united_states	guadeloupe	402119.0
united_states	dominica	73897.0
united_states	martinique	385551.0
united_states	saint_lucia	164994.0
united_states	saint_vincent_grenadines	102089.0
united_states	barbados	292336.0
united_states	grenada	111724.0
united_states	trinidad_tobago	1218208.0
united_states	curacao	149648.0
united_states	aruba	115120.0
united_states	french_guiana	252338.0
united_states	suriname	591919.0
united_states	guyana	737718.0
united_states	venezuela	31304016.0
united_states	colombia	47698524.0
united_states	ecuador	16290913.0
united_states	peru	31036656.0
united_states	bolivia	11138234.0
united_states	brazil	207353391.0
united_states	paraguay	6943739.0
united_states	uruguay	3360148.0
united_states	argentina	44293293.0
united_states	chile	17789267.0
bermuda	canada	35623680.0
bermuda	united_states	326625791.0
bermuda	mexico	124574795.0
bermuda	belize	360346.0
bermuda	guatemala	15460732.0
bermuda	honduras	9038741.0
bermuda	el_salvador	6172011.0
bermuda	nicaragua	6025951.0
bermuda	costa_rica	4930258.0
bermuda	panama	3753142.0
bermuda	bahamas	329988.0
bermuda	cuba	11147407.0
bermuda	turks_caicos_islands	52570.0
bermuda	cayman_islands	58441.0
bermuda	jamaica	2990561.0
bermuda	haiti	10646714.0
bermuda	dominican_republic	10734247.0
bermuda	puerto_rico	3351827.0
bermuda	united_states_virgin_islands	107268.0
bermuda	saint_kitts_nevis	52715.0
bermuda	antigua_barbuda	94731.0
bermuda	guadeloupe	402119.0
bermuda	dominica	73897.0
bermuda	martinique	385551.0
bermuda	saint_lucia	164994.0
bermuda	saint_vincent_grenadines	102089.0
bermuda	barbados	292336.0
bermuda	grenada	111724.0
bermuda	trinidad_tobago	1218208.0
bermuda	curacao	149648.0
bermuda	aruba	115120.0
bermuda	french_guiana	252338.0
bermuda	suriname	591919.0
bermuda	guyana	737718.0
bermuda	venezuela	31304016.0
bermuda	colombia	47698524.0
bermuda	ecuador	16290913.0
bermuda	peru	31036656.0
bermuda	bolivia	11138234.0
bermuda	brazil	207353391.0
bermuda	paraguay	6943739.0
bermuda	uruguay	3360148.0
bermuda	argentina	44293293.0
bermuda	chile	17789267.0
mexico	canada	35623680.0
mexico	united_states	326625791.0
mexico	bermuda	70864.0
mexico	belize	360346.0
mexico	guatemala	15460732.0
mexico	honduras	9038741.0
mexico	el_salvador	6172011.0
mexico	nicaragua	6025951.0
mexico	costa_rica	4930258.0
mexico	panama	3753142.0
mexico	bahamas	329988.0
mexico	cuba	11147407.0
mexico	turks_caicos_islands	52570.0
mexico	cayman_islands	58441.0
mexico	jamaica	2990561.0
mexico	haiti	10646714.0
mexico	dominican_republic	10734247.0
