origin	destination	great_circle_dist_km
mexico	ecuador	3458.13537058
mexico	peru	4482.95029903
mexico	bolivia	5784.57104873
mexico	brazil	7432.8398656
mexico	paraguay	7040.07670823
mexico	uruguay	7778.43046242
mexico	argentina	7342.07126892
mexico	chile	6903.38133779
belize	canada	3248.79369438
belize	united_states	2293.14332244
belize	bermuda	2899.25636731
belize	mexico	1358.74272161
belize	guatemala	386.978963059
belize	honduras	310.702067509
belize	el_salvador	423.928345257
belize	nicaragua	621.928917891
belize	costa_rica	955.230787279
belize	panama	1317.64092866
belize	bahamas	1432.32309089
belize	cuba	1047.78083968
belize	turks_caicos_islands	1814.56776312
belize	cayman_islands	776.980079285
belize	jamaica	1208.47289633
belize	haiti	1694.89751104
belize	dominican_republic	1932.80467661
belize	puerto_rico	2347.24271474
belize	united_states_virgin_islands	2494.39393721
belize	saint_kitts_nevis	3616.28586332
belize	antigua_barbuda	2824.65745084
belize	guadeloupe	2861.86538618
belize	dominica	2896.05562639
belize	martinique	2947.57484691
belize	saint_lucia	2966.42159709
belize	saint_vincent_grenadines	2958.87480183
belize	barbados	3129.1859801
belize	grenada	2935.58931024
belize	trinidad_tobago	3016.6990937
belize	curacao	2179.85377615
belize	aruba	2058.59161883
belize	french_guiana	4111.66569176
belize	suriname	3831.45990033
belize	guyana	3514.84004833
belize	venezuela	2386.15714365
belize	colombia	1954.03447306
belize	ecuador	2333.41150331
belize	peru	3425.01972625
belize	bolivia	4618.13141355
belize	brazil	6120.80829806
belize	paraguay	5857.5421025
belize	uruguay	6673.54066082
belize	argentina	6282.9967328
belize	chile	5980.64070283
guatemala	canada	3556.07697568
guatemala	united_states	2558.17928362
guatemala	bermuda	3279.56181424
guatemala	mexico	1295.37218902
guatemala	belize	386.978963059
guatemala	honduras	350.597352061
guatemala	el_salvador	211.266245417
guatemala	nicaragua	567.529075509
guatemala	costa_rica	892.795329231
guatemala	panama	1332.27701635
guatemala	bahamas	1813.94565878
guatemala	cuba	1416.19103492
guatemala	turks_caicos_islands	2149.45137596
guatemala	cayman_islands	1118.292673
guatemala	jamaica	1504.2020544
guatemala	haiti	1994.73887955
guatemala	dominican_republic	2230.24151229
guatemala	puerto_rico	2635.00064244
guatemala	united_states_virgin_islands	2780.43762536
guatemala	saint_kitts_nevis	3895.76870366
guatemala	antigua_barbuda	3099.05218947
guatemala	guadeloupe	3127.34303247
guatemala	dominica	3152.09075258
guatemala	martinique	3195.67214202
guatemala	saint_lucia	3206.71590262
guatemala	saint_vincent_grenadines	3190.08244752
guatemala	barbados	3362.88256684
guatemala	grenada	3153.81262409
guatemala	trinidad_tobago	3215.74150536
guatemala	curacao	2375.58161326
guatemala	aruba	2256.33982747
guatemala	french_guiana	4281.65786063
guatemala	suriname	4000.85798215
guatemala	guyana	3681.23335934
guatemala	venezuela	2555.2620969
guatemala	colombia	1992.3115281
guatemala	ecuador	2199.31750421
guatemala	peru	3264.21400732
guatemala	bolivia	4520.20840934
guatemala	brazil	6138.73775844
guatemala	paraguay	5772.03861952
guatemala	uruguay	6547.81737246
guatemala	argentina	6134.92086354
guatemala	chile	5777.63481208
honduras	canada	3542.40274495
honduras	united_states	2600.36515012
honduras	bermuda	3016.48494644
honduras	mexico	1582.19065135
honduras	belize	310.702067509
honduras	guatemala	350.597352061
honduras	el_salvador	216.027917001
honduras	nicaragua	313.077380194
honduras	costa_rica	651.343249872
honduras	panama	1043.40063774
honduras	bahamas	1566.12067823
honduras	cuba	1143.35239362
honduras	turks_caicos_islands	1829.13946751
honduras	cayman_islands	819.434547815
honduras	jamaica	1167.67527642
honduras	haiti	1656.46577965
honduras	dominican_republic	1890.13258156
honduras	puerto_rico	2290.9010721
honduras	united_states_virgin_islands	2435.64831362
honduras	saint_kitts_nevis	3548.47241126
honduras	antigua_barbuda	2751.45553698
honduras	guadeloupe	2778.41936492
honduras	dominica	2802.20504534
honduras	martinique	2845.29468491
honduras	saint_lucia	2856.13196437
honduras	saint_vincent_grenadines	2839.56357448
honduras	barbados	3012.32931616
honduras	grenada	2803.90286835
honduras	trinidad_tobago	2867.83573331
honduras	curacao	2027.31929611
honduras	aruba	1907.68502841
honduras	french_guiana	3939.84194719
honduras	suriname	3658.96881356
honduras	guyana	3339.76166872
honduras	venezuela	2211.75875361
honduras	colombia	1695.26844985
honduras	ecuador	2024.81571755
honduras	peru	3114.98201771
honduras	bolivia	4317.5667109
honduras	brazil	5859.7245251
honduras	paraguay	5560.56561543
honduras	uruguay	6368.63020017
honduras	argentina	5974.87259061
honduras	chile	5670.11714383
el_salvador	canada	3667.524282
el_salvador	united_states	2694.66435637
el_salvador	bermuda	3230.05677512
el_salvador	mexico	1506.20449507
el_salvador	belize	423.928345257
el_salvador	guatemala	211.266245417
el_salvador	honduras	216.027917001
el_salvador	nicaragua	358.090691075
el_salvador	costa_rica	681.763164984
el_salvador	panama	1122.07616392
el_salvador	bahamas	1775.76816539
el_salvador	cuba	1356.81046554
el_salvador	turks_caicos_islands	2043.10357523
el_salvador	cayman_islands	1035.23232038
el_salvador	jamaica	1376.68335872
el_salvador	haiti	1863.38326071
el_salvador	dominican_republic	2095.32823871
el_salvador	puerto_rico	2491.64669997
el_salvador	united_states_virgin_islands	2635.36851455
el_salvador	saint_kitts_nevis	3743.34719976
el_salvador	antigua_barbuda	2946.26385589
el_salvador	guadeloupe	2969.92019374
el_salvador	dominica	2990.08427131
el_salvador	martinique	3029.96408973
el_salvador	saint_lucia	3037.65875549
el_salvador	saint_vincent_grenadines	3017.42861076
el_salvador	barbados	3190.71271323
el_salvador	grenada	2976.4212483
el_salvador	trinidad_tobago	3031.76481196
el_salvador	curacao	2193.45496617
el_salvador	aruba	2075.47088424
el_salvador	french_guiana	4087.78073325
el_salvador	suriname	3807.19420324
el_salvador	guyana	3487.3079257
el_salvador	venezuela	2364.63938733
el_salvador	colombia	1782.31010595
el_salvador	ecuador	2003.36180183
el_salvador	peru	3077.17809059
el_salvador	bolivia	4319.50416283
el_salvador	brazil	5927.52400272
el_salvador	paraguay	5569.78180301
el_salvador	uruguay	6353.83758379
el_salvador	argentina	5946.39437463
el_salvador	chile	5606.8849425
nicaragua	canada	3823.34285747
nicaragua	united_states	2901.25597195
nicaragua	bermuda	3115.72389933
nicaragua	mexico	1856.93053542
nicaragua	belize	621.928917891
nicaragua	guatemala	567.529075509
nicaragua	honduras	313.077380194
nicaragua	el_salvador	358.090691075
nicaragua	costa_rica	341.29112016
nicaragua	panama	764.820726185
nicaragua	bahamas	1706.97764896
nicaragua	cuba	1268.42409379
nicaragua	turks_caicos_islands	1847.48439448
nicaragua	cayman_islands	926.046142143
nicaragua	jamaica	1160.49671009
nicaragua	haiti	1626.78072777
nicaragua	dominican_republic	1848.63660556
nicaragua	puerto_rico	2226.11176334
nicaragua	united_states_virgin_islands	2365.81501504
nicaragua	saint_kitts_nevis	3456.54784486
nicaragua	antigua_barbuda	2662.17395995
nicaragua	guadeloupe	2678.32606343
nicaragua	dominica	2691.18223947
nicaragua	martinique	2725.15064798
nicaragua	saint_lucia	2727.67997329
nicaragua	saint_vincent_grenadines	2702.06877377
nicaragua	barbados	2875.56043701
nicaragua	grenada	2654.12696201
nicaragua	trinidad_tobago	2699.85594639
nicaragua	curacao	1866.78676957
nicaragua	aruba	1751.33904653
nicaragua	french_guiana	3741.85466156
nicaragua	suriname	3461.69860166
nicaragua	guyana	3141.73814403
nicaragua	venezuela	2024.91680374
nicaragua	colombia	1424.78267405
nicaragua	ecuador	1711.89591625
nicaragua	peru	2803.17205472
nicaragua	bolivia	4006.49086485
nicaragua	brazil	5576.05374303
nicaragua	paraguay	5251.16483968
nicaragua	uruguay	6055.84177674
nicaragua	argentina	5661.88040287
nicaragua	chile	5362.82300368
costa_rica	canada	4102.8131452
costa_rica	united_states	3210.65912936
costa_rica	bermuda	3191.22414205
costa_rica	mexico	2187.96004408
costa_rica	belize	955.230787279
costa_rica	guatemala	892.795329231
costa_rica	honduras	651.343249872
costa_rica	el_salvador	681.763164984
costa_rica	nicaragua	341.29112016
costa_rica	panama	462.699485402
costa_rica	bahamas	1853.09187049
costa_rica	cuba	1416.80943058
costa_rica	turks_caicos_islands	1860.56855764
costa_rica	cayman_islands	1082.24491542
costa_rica	jamaica	1182.02772345
costa_rica	haiti	1595.72364906
costa_rica	dominican_republic	1796.02430555
costa_rica	puerto_rico	2137.19683738
costa_rica	united_states_virgin_islands	2268.35061222
costa_rica	saint_kitts_nevis	3320.33266972
costa_rica	antigua_barbuda	2538.09638038
costa_rica	guadeloupe	2542.11742042
costa_rica	dominica	2542.77762932
costa_rica	martinique	2566.27425412
costa_rica	saint_lucia	2559.66735561
costa_rica	saint_vincent_grenadines	2524.48009546
costa_rica	barbados	2696.70752596
costa_rica	grenada	2463.69305808
costa_rica	trinidad_tobago	2489.04095254
costa_rica	curacao	1677.96229705
costa_rica	aruba	1570.47104139
costa_rica	french_guiana	3492.10102704
costa_rica	suriname	3214.06514844
costa_rica	guyana	2895.21399485
costa_rica	venezuela	1802.53424409
costa_rica	colombia	1116.09280222
costa_rica	ecuador	1381.43794689
costa_rica	peru	2477.60663546
costa_rica	bolivia	3666.25417934
costa_rica	brazil	5246.12488918
costa_rica	paraguay	4910.10280343
costa_rica	uruguay	5718.47440169
costa_rica	argentina	5328.90462624
costa_rica	chile	5048.29284624
panama	canada	4278.93870895
panama	united_states	3462.74127176
panama	bermuda	3055.15992916
panama	mexico	2618.98346883
panama	belize	1317.64092866
panama	guatemala	1332.27701635
panama	honduras	1043.40063774
panama	el_salvador	1122.07616392
panama	nicaragua	764.820726185
panama	costa_rica	462.699485402
panama	bahamas	1858.98230136
panama	cuba	1456.27250654
panama	turks_caicos_islands	1684.08717434
panama	cayman_islands	1170.29962049
panama	jamaica	1075.17048244
panama	haiti	1377.68704277
panama	dominican_republic	1538.93672412
panama	puerto_rico	1823.82986551
panama	united_states_virgin_islands	1941.95374364
panama	saint_kitts_nevis	2940.00839993
panama	antigua_barbuda	2178.28959889
panama	guadeloupe	2170.24453194
panama	dominica	2159.25987833
panama	martinique	2172.86159172
panama	saint_lucia	2158.26865858
panama	saint_vincent_grenadines	2115.31046226
panama	barbados	2284.90770151
panama	grenada	2044.70385084
panama	trinidad_tobago	2054.89248737
panama	curacao	1272.00552598
panama	aruba	1175.27117872
panama	french_guiana	3034.92350785
panama	suriname	2757.96702567
panama	guyana	2440.04449558
panama	venezuela	1366.25761021
panama	colombia	660.291096317
panama	ecuador	1158.07331793
panama	peru	2241.88077929
panama	bolivia	3329.42664331
panama	brazil	4816.80264576
panama	paraguay	4555.14821672
panama	uruguay	5399.63668523
panama	argentina	5036.40997686
panama	chile	4828.08084641
bahamas	canada	2553.29629255
bahamas	united_states	2008.60543595
bahamas	bermuda	1467.06456483
bahamas	mexico	2390.19842381
bahamas	belize	1432.32309089
bahamas	guatemala	1813.94565878
bahamas	honduras	1566.12067823
bahamas	el_salvador	1775.76816539
bahamas	nicaragua	1706.97764896
bahamas	costa_rica	1853.09187049
bahamas	panama	1858.98230136
bahamas	cuba	439.796546398
bahamas	turks_caicos_islands	723.342995195
bahamas	cayman_islands	782.337868788
bahamas	jamaica	816.532171854
bahamas	haiti	899.221102485
bahamas	dominican_republic	1047.66383617
bahamas	puerto_rico	1402.63099292
bahamas	united_states_virgin_islands	1530.29814599
bahamas	saint_kitts_nevis	2560.94251724
bahamas	antigua_barbuda	1867.80465894
bahamas	guadeloupe	1942.60162131
bahamas	dominica	2016.51763107
bahamas	martinique	2097.7235614
bahamas	saint_lucia	2149.62129099
bahamas	saint_vincent_grenadines	2184.18957709
bahamas	barbados	2320.73106368
bahamas	grenada	2222.29352718
bahamas	trinidad_tobago	2375.09006176
bahamas	curacao	1730.5653005
bahamas	aruba	1639.15329747
bahamas	french_guiana	3471.51599028
bahamas	suriname	3217.89452781
bahamas	guyana	2945.7211446
bahamas	venezuela	1995.34613547
bahamas	colombia	2177.98756905
bahamas	ecuador	3001.98567118
bahamas	peru	4047.90756932
bahamas	bolivia	4935.1435419
bahamas	brazil	5931.52208527
bahamas	paraguay	6060.21179678
bahamas	uruguay	6988.66932732
bahamas	argentina	6696.45640936
bahamas	chile	6608.95976244
cuba	canada	2860.41875608
cuba	united_states	2176.08655778
cuba	bermuda	1873.268576
cuba	mexico	2167.24323113
cuba	belize	1047.78083968
cuba	guatemala	1416.19103492
cuba	honduras	1143.35239362
cuba	el_salvador	1356.81046554
cuba	nicaragua	1268.42409379
cuba	costa_rica	1416.80943058
cuba	panama	1456.27250654
cuba	bahamas	439.796546398
cuba	turks_caicos_islands	819.514913845
cuba	cayman_islands	342.75401851
cuba	jamaica	508.88750995
cuba	haiti	824.912276703
cuba	dominican_republic	1041.23628533
cuba	puerto_rico	1452.19613292
cuba	united_states_virgin_islands	1595.79846439
cuba	saint_kitts_nevis	2697.47359641
cuba	antigua_barbuda	1941.15102536
cuba	guadeloupe	1999.69574358
cuba	dominica	2056.91566148
cuba	martinique	2126.79613673
cuba	saint_lucia	2165.31701666
cuba	saint_vincent_grenadines	2182.41320168
cuba	barbados	2337.45462705
cuba	grenada	2195.57528876
cuba	trinidad_tobago	2323.87760699
cuba	curacao	1576.78013522
cuba	aruba	1468.00408941
cuba	french_guiana	3443.15899895
cuba	suriname	3175.33590817
cuba	guyana	2881.234207
cuba	venezuela	1835.02237639
cuba	colombia	1848.73066145
cuba	ecuador	2611.38705554
cuba	peru	3678.36672462
cuba	bolivia	4638.65241561
cuba	brazil	5779.83993498
cuba	paraguay	5800.98257781
cuba	uruguay	6707.4365304
cuba	argentina	6390.18925037
cuba	chile	6255.59738533
turks_caicos_islands	canada	3158.98584618
turks_caicos_islands	united_states	2718.31689563
turks_caicos_islands	bermuda	1373.62879616
turks_caicos_islands	mexico	2986.20192399
turks_caicos_islands	belize	1814.56776312
turks_caicos_islands	guatemala	2149.45137596
turks_caicos_islands	honduras	1829.13946751
turks_caicos_islands	el_salvador	2043.10357523
turks_caicos_islands	nicaragua	1847.48439448
turks_caicos_islands	costa_rica	1860.56855764
turks_caicos_islands	panama	1684.08717434
turks_caicos_islands	bahamas	723.342995195
turks_caicos_islands	cuba	819.514913845
turks_caicos_islands	cayman_islands	1037.92468709
turks_caicos_islands	jamaica	688.414712007
turks_caicos_islands	haiti	329.14896345
