origin	destination	origin_population_size
canada	united_states	35623680.0
canada	bermuda	35623680.0
canada	mexico	35623680.0
canada	belize	35623680.0
canada	guatemala	35623680.0
canada	honduras	35623680.0
canada	el_salvador	35623680.0
canada	nicaragua	35623680.0
canada	costa_rica	35623680.0
canada	panama	35623680.0
canada	bahamas	35623680.0
canada	cuba	35623680.0
canada	turks_caicos_islands	35623680.0
canada	cayman_islands	35623680.0
canada	jamaica	35623680.0
canada	haiti	35623680.0
canada	dominican_republic	35623680.0
canada	puerto_rico	35623680.0
canada	united_states_virgin_islands	35623680.0
canada	saint_kitts_nevis	35623680.0
canada	antigua_barbuda	35623680.0
canada	guadeloupe	35623680.0
canada	dominica	35623680.0
canada	martinique	35623680.0
canada	saint_lucia	35623680.0
canada	saint_vincent_grenadines	35623680.0
canada	barbados	35623680.0
canada	grenada	35623680.0
canada	trinidad_tobago	35623680.0
canada	curacao	35623680.0
canada	aruba	35623680.0
canada	french_guiana	35623680.0
canada	suriname	35623680.0
canada	guyana	35623680.0
canada	venezuela	35623680.0
canada	colombia	35623680.0
canada	ecuador	35623680.0
canada	peru	35623680.0
canada	bolivia	35623680.0
canada	brazil	35623680.0
canada	paraguay	35623680.0
canada	uruguay	35623680.0
canada	argentina	35623680.0
canada	chile	35623680.0
united_states	canada	326625791.0
united_states	bermuda	326625791.0
united_states	mexico	326625791.0
united_states	belize	326625791.0
united_states	guatemala	326625791.0
united_states	honduras	326625791.0
united_states	el_salvador	326625791.0
united_states	nicaragua	326625791.0
united_states	costa_rica	326625791.0
united_states	panama	326625791.0
united_states	bahamas	326625791.0
united_states	cuba	326625791.0
united_states	turks_caicos_islands	326625791.0
united_states	cayman_islands	326625791.0
united_states	jamaica	326625791.0
united_states	haiti	326625791.0
united_states	dominican_republic	326625791.0
united_states	puerto_rico	326625791.0
united_states	united_states_virgin_islands	326625791.0
united_states	saint_kitts_nevis	326625791.0
united_states	antigua_barbuda	326625791.0
united_states	guadeloupe	326625791.0
united_states	dominica	326625791.0
united_states	martinique	326625791.0
united_states	saint_lucia	326625791.0
united_states	saint_vincent_grenadines	326625791.0
united_states	barbados	326625791.0
united_states	grenada	326625791.0
united_states	trinidad_tobago	326625791.0
united_states	curacao	326625791.0
united_states	aruba	326625791.0
united_states	french_guiana	326625791.0
united_states	suriname	326625791.0
united_states	guyana	326625791.0
united_states	venezuela	326625791.0
united_states	colombia	326625791.0
united_states	ecuador	326625791.0
united_states	peru	326625791.0
united_states	bolivia	326625791.0
united_states	brazil	326625791.0
united_states	paraguay	326625791.0
united_states	uruguay	326625791.0
united_states	argentina	326625791.0
united_states	chile	326625791.0
bermuda	canada	70864.0
bermuda	united_states	70864.0
bermuda	mexico	70864.0
bermuda	belize	70864.0
bermuda	guatemala	70864.0
bermuda	honduras	70864.0
bermuda	el_salvador	70864.0
bermuda	nicaragua	70864.0
bermuda	costa_rica	70864.0
bermuda	panama	70864.0
bermuda	bahamas	70864.0
bermuda	cuba	70864.0
bermuda	turks_caicos_islands	70864.0
bermuda	cayman_islands	70864.0
bermuda	jamaica	70864.0
bermuda	haiti	70864.0
bermuda	dominican_republic	70864.0
bermuda	puerto_rico	70864.0
bermuda	united_states_virgin_islands	70864.0
bermuda	saint_kitts_nevis	70864.0
bermuda	antigua_barbuda	70864.0
bermuda	guadeloupe	70864.0
bermuda	dominica	70864.0
bermuda	martinique	70864.0
bermuda	saint_lucia	70864.0
bermuda	saint_vincent_grenadines	70864.0
bermuda	barbados	70864.0
