origin	destination	pax_volume
antigua_barbuda	british_virgin_islands	5555
antigua_barbuda	united_states_virgin_islands	829
argentina	antigua_barbuda	66
argentina	aruba	11862
argentina	bahamas	1373
argentina	barbados	362
argentina	belize	307
argentina	bermuda	109
argentina	bolivia	108547
argentina	brazil	1486059
argentina	canada	32208
argentina	cayman_islands	241
argentina	chile	700220
argentina	colombia	173470
argentina	costa_rica	20096
argentina	cuba	65085
argentina	curacao	1478
argentina	dominica	3
argentina	dominican_republic	144806
argentina	ecuador	63826
argentina	el_salvador	2684
argentina	french_guiana	2
argentina	grenada	273
argentina	guadeloupe	25
argentina	guatemala	5736
argentina	guyana	69
argentina	haiti	614
argentina	honduras	2396
argentina	jamaica	1357
argentina	martinique	40
argentina	mexico	282625
argentina	nicaragua	1664
argentina	panama	39824
argentina	paraguay	94578
argentina	peru	251231
argentina	puerto_rico	7109
argentina	saint_kitts_nevis	73
argentina	saint_lucia	35
argentina	sint_maarten	3093
argentina	suriname	29
argentina	trinidad_tobago	1038
argentina	turks_caicos_islands	854
argentina	united_states	1118691
argentina	uruguay	209946
argentina	venezuela	66719
argentina	british_virgin_islands	38
argentina	united_states_virgin_islands	310
aruba	anguilla	1
aruba	antigua_barbuda	122
aruba	argentina	10448
aruba	bahamas	151
aruba	barbados	162
aruba	belize	18
aruba	bermuda	39
aruba	bolivia	147
aruba	brazil	12834
aruba	canada	38365
aruba	cayman_islands	97
aruba	chile	7645
aruba	colombia	50539
aruba	costa_rica	1151
aruba	cuba	282
aruba	curacao	84600
aruba	dominica	35
aruba	dominican_republic	14669
aruba	ecuador	4129
aruba	el_salvador	125
aruba	french_guiana	21
aruba	grenada	75
aruba	guadeloupe	23
aruba	guatemala	189
aruba	guyana	2872
aruba	haiti	168
aruba	honduras	30
aruba	jamaica	302
aruba	martinique	2
aruba	mexico	1882
aruba	nicaragua	69
aruba	panama	14107
aruba	paraguay	664
aruba	peru	3425
aruba	puerto_rico	4347
aruba	saint_barthelemy	38
aruba	saint_kitts_nevis	243
aruba	saint_lucia	24
aruba	sint_maarten	4233
aruba	saint_vincent_grenadines	23
aruba	suriname	10757
aruba	trinidad_tobago	2626
aruba	turks_caicos_islands	41
aruba	united_states	691888
aruba	uruguay	279
aruba	venezuela	260607
aruba	british_virgin_islands	29
aruba	united_states_virgin_islands	222
bahamas	anguilla	2
bahamas	antigua_barbuda	265
bahamas	argentina	950
bahamas	aruba	146
bahamas	barbados	1781
bahamas	belize	169
bahamas	bermuda	742
bahamas	bolivia	85
bahamas	brazil	3493
bahamas	canada	114751
bahamas	cayman_islands	8316
bahamas	chile	561
bahamas	colombia	2271
bahamas	costa_rica	956
bahamas	cuba	17381
bahamas	curacao	180
bahamas	dominica	32
bahamas	dominican_republic	2800
bahamas	ecuador	992
bahamas	el_salvador	210
bahamas	grenada	296
bahamas	guadeloupe	3
bahamas	guatemala	393
bahamas	guyana	726
bahamas	haiti	2130
bahamas	honduras	286
bahamas	jamaica	16077
bahamas	martinique	14
bahamas	mexico	3899
bahamas	nicaragua	1208
bahamas	panama	7600
bahamas	paraguay	258
bahamas	peru	1160
bahamas	puerto_rico	3531
bahamas	saint_kitts_nevis	159
bahamas	saint_lucia	428
bahamas	sint_maarten	532
bahamas	saint_vincent_grenadines	1
bahamas	suriname	161
bahamas	trinidad_tobago	2859
bahamas	turks_caicos_islands	8950
bahamas	united_states	1305045
bahamas	uruguay	289
bahamas	venezuela	792
bahamas	british_virgin_islands	100
bahamas	united_states_virgin_islands	585
barbados	anguilla	125
barbados	antigua_barbuda	7251
barbados	argentina	353
barbados	aruba	76
barbados	bahamas	2006
barbados	belize	518
barbados	bermuda	853
barbados	bolivia	20
barbados	brazil	2536
barbados	canada	84361
barbados	cayman_islands	862
barbados	chile	281
barbados	colombia	3215
barbados	costa_rica	294
barbados	cuba	110
barbados	curacao	308
barbados	dominica	6568
barbados	dominican_republic	493
barbados	ecuador	300
barbados	el_salvador	32
barbados	french_guiana	33
barbados	grenada	9122
barbados	guadeloupe	262
barbados	guatemala	180
barbados	guyana	14119
barbados	haiti	264
barbados	honduras	63
barbados	jamaica	13665
barbados	martinique	5101
barbados	mexico	592
barbados	nicaragua	52
barbados	panama	871
barbados	paraguay	4
barbados	peru	243
barbados	puerto_rico	1712
barbados	saint_barthelemy	19
barbados	saint_kitts_nevis	3305
barbados	saint_lucia	9396
barbados	sint_maarten	3569
barbados	saint_martin	14
barbados	saint_vincent_grenadines	12535
barbados	suriname	1804
barbados	trinidad_tobago	54650
barbados	turks_caicos_islands	467
barbados	united_states	241091
barbados	uruguay	50
barbados	venezuela	432
barbados	british_virgin_islands	2245
barbados	united_states_virgin_islands	393
belize	antigua_barbuda	4
belize	argentina	315
belize	aruba	41
belize	bahamas	190
belize	barbados	777
belize	bermuda	76
belize	bolivia	241
belize	brazil	480
belize	canada	12400
belize	cayman_islands	250
belize	chile	255
belize	colombia	913
belize	costa_rica	3165
belize	cuba	443
belize	curacao	44
belize	dominican_republic	371
belize	ecuador	367
belize	el_salvador	2357
belize	grenada	13
belize	guatemala	4370
belize	guyana	69
belize	haiti	2
belize	honduras	4852
belize	jamaica	1060
belize	mexico	5804
belize	nicaragua	1819
belize	panama	3721
belize	paraguay	69
belize	peru	432
belize	puerto_rico	401
belize	saint_kitts_nevis	72
belize	sint_maarten	76
belize	trinidad_tobago	951
belize	turks_caicos_islands	41
belize	united_states	303186
belize	uruguay	71
belize	venezuela	157
belize	british_virgin_islands	11
belize	united_states_virgin_islands	99
bermuda	antigua_barbuda	20
bermuda	argentina	122
bermuda	aruba	47
bermuda	bahamas	776
bermuda	barbados	858
bermuda	belize	105
bermuda	bolivia	13
bermuda	brazil	350
bermuda	canada	43084
bermuda	cayman_islands	1199
bermuda	chile	98
bermuda	colombia	152
bermuda	costa_rica	327
bermuda	cuba	10
bermuda	curacao	20
bermuda	dominica	2
bermuda	dominican_republic	414
bermuda	ecuador	150
bermuda	el_salvador	16
bermuda	grenada	130
bermuda	guadeloupe	2
bermuda	guatemala	37
bermuda	guyana	19
bermuda	haiti	119
bermuda	honduras	10
bermuda	jamaica	1791
bermuda	mexico	524
bermuda	nicaragua	25
bermuda	panama	241
bermuda	paraguay	4
bermuda	peru	89
bermuda	puerto_rico	656
bermuda	saint_kitts_nevis	68
bermuda	saint_lucia	1
bermuda	sint_maarten	134
bermuda	suriname	2
bermuda	trinidad_tobago	433
bermuda	turks_caicos_islands	201
bermuda	united_states	298285
bermuda	uruguay	15
bermuda	venezuela	7
bermuda	british_virgin_islands	59
bermuda	united_states_virgin_islands	349
bolivia	argentina	110928
bolivia	aruba	164
bolivia	bahamas	111
bolivia	barbados	40
bolivia	belize	190
bolivia	brazil	82792
bolivia	canada	5777
bolivia	cayman_islands	81
bolivia	chile	64751
bolivia	colombia	28392
bolivia	costa_rica	2387
