country	latitude	longitude
anguilla	18.2136298834	-63.0558396593
antigua_barbuda	17.1066305028	-61.8352675777
aruba	12.4900753892	-69.9864458791
bahamas	25.3954138682	-77.5319166931
barbados	13.1190851276	-59.6056278431
belize	17.4707503411	-88.451425648
bermuda	32.3466494083	-64.7100295858
british_virgin_islands	18.43	-64.63
canada	46.6794691987	-88.3362290913
cayman_islands	19.3101466199	-81.3488062682
costa_rica	9.96463882384	-84.1520736518
cuba	21.9454649198	-79.6418826717
curacao	12.1194425315	-68.9364383673
dominica	15.3842799697	-61.3705958146
dominican_republic	18.850694851	-70.2128013017
el_salvador	13.7123021481	-89.1089091105
greenland	66.7335562778	-51.5911542517
grenada	12.1441051038	-61.6856684121
guadeloupe	16.263108917	-61.5724858349
guatemala	14.7709210167	-90.7360158236
haiti	18.8056932768	-72.4724449834
honduras	14.8389585805	-87.4763976861
jamaica	18.0674430887	-77.0575355258
martinique	14.6293190475	-61.0107962722
mexico	21.6461776208	-100.640996668
montserrat	16.7499093816	-62.2063240589
nicaragua	12.3562972149	-86.1116050904
panama	8.85956890612	-80.086732262
puerto_rico	18.3091241524	-66.2799015817
saint_kitts_nevis	17.3102399768	-54.3350891638
saint_lucia	13.9260597769	-60.968527528
saint_pierre_miquelon	46.8381828089	-56.2141942515
saint_vincent_grenadines	13.1649314093	-61.2067770585
sint_maarten	18.027257543	-63.0546868909
trinidad_tobago	10.4712148704	-61.4142390387
turks_caicos_islands	21.6772584541	-71.7101268116
united_states	37.6710001495	-93.1487515831
united_states_virgin_islands	18.1951557093	-64.8895069204
argentina	-32.884404198	-61.6705306596
bolivia	-17.4262310384	-65.5949865184
brazil	-18.0025741465	-45.6803214808
chile	-33.7169181602	-71.1878012423
colombia	5.98283179564	-74.8493744891
ecuador	-1.53178680948	-79.431211424
falkland_islands	-51.7258123063	-57.7048074369
french_guiana	5.01142782534	-52.8651049905
guyana	6.54075844857	-58.0694040172
paraguay	-25.314739123	-56.9082375458
peru	-10.9851962691	-76.5396667904
suriname	5.82013466081	-55.2681042387
uruguay	-34.0966587575	-56.238122163
venezuela	10.0747316023	-67.6937081675
