country	population_size
samoa	200108
kosovo	1895250
tokelau	1285
united_states	326625791
azerbaijan	9961396
sint_maarten	42083
uzbekistan	29748859
senegal	14668522
equatorial_guinea	778358
malta	416338
japan	126451398
taiwan	23508428
tajikistan	8468555
timor_leste	1291358
bhutan	758288
bosniaand_herzegovina	3856181
lithuania	2823859
mongolia	3068243
congo_republicofthe	4954674
tunisia	11403800
rwanda	11901484
aruba	115120
french_polynesia	287881
saint_vincent_grenadines	102089
argentina	44293293
norway	5320045
ghana	27499924
australia	23232413
cuba	11147407
anguilla	17087
zambia	15972000
trinidad_tobago	1218208
guatemala	15460732
zimbabwe	13805084
belgium	11491346
sao_tomeand_principe	201025
haiti	10646714
macau	601969
kazakhstan	18556698
liberia	4689021
kyrgyzstan	5789122
netherlands	17084719
sierra_leone	6163195
portugal	10839514
turks_caicos_islands	52570
denmark	5605948
philippines	104256076
montserrat	5292
djibouti	865267
moldova	3474121
saint_kittsand_nevis	52715
latvia	1944643
croatia	4292095
papua_new_guinea	6909701
switzerland	8236303
guinea_bissau	1792338
cocos(_keeling)_islands	596
bulgaria	7101510
jamaica	2990561
congo_democratic_republicofthe	83301151
angola	29310273
brunei	443593
serbia	7111024
malaysia	31381992
mozambique	26573706
greece	10768477
nicaragua	6025951
canada	35623680
afghanistan	34124811
qatar	2314307
palau	21431
turkmenistan	5351277
sudan	37345935
guinea	12413867
panama	3753142
nepal	29384297
luxembourg	594130
swaziland	1467152
somalia	11031386
iceland	339747
namibia	2484780
nauru	9642
venezuela	31304016
central_african_republic	5625118
iran	82021564
dominican_republic	10734247
new_zealand	4510327
korea_south	51181299
china	1379302771
armenia	3045191
saint_pierreand_miquelon	5533
korea_north	25248140
iraq	39192111
bermuda	70864
ukraine	44033874
west_bank	2747943
libya	6653210
holy_see(_vatican_city)	1000
south_africa	54841552
oman	3424386
finland	5518371
wallisand_futuna	15714
macedonia	2103721
russia	142257519
puerto_rico	3351827
western_sahara	603253
british_virgin_islands	35015
niue	1626
estonia	1251581
syria	18028549
saint_barthelemy	7184
jersey	98840
burma	55123814
pakistan	204924861
romania	21529967
seychelles	93920
egypt	97041072
guam	167358
saint_helena_ascensionand_tristanda_cunha	7828
svalbard	2667
austria	8754413
united_arab_emirates	6072475
hungary	9850845
colombia	47698524
thailand	68414135
united_kingdom	64769452
niger	19245344
marshall_islands	74539
fiji	920938
comoros	808080
gaza_strip	1795183
turkey	80845215
andorra	85702
madagascar	25054161
belize	360346
bangladesh	157826578
mauritania	3758571
uruguay	3360148
france	67106161
solomon_islands	647581
slovakia	5445829
gibraltar	29396
peru	31036656
laos	7126706
micronesia_federated_statesof	104196
nigeria	190632261
bolivia	11138234
malawi	19196246
ecuador	16290913
israel	8299706
san_marino	33537
albania	3047987
ireland	5011102
algeria	40969443
lebanon	6229794
kiribati	108145
georgia	4926330
czechia	10674723
cyprus	1221549
togo	7965055
saint_lucia	164994
jordan	10248069
chile	17789267
tuvalu	11052
bahamas	329988
costa_rica	4930258
spain	48958159
christmas_island	2205
hong_kong	7191503
lesotho	1958042
burkina_faso	20107509
morocco	33986655
sweden	9960487
gabon	1772255
saudi_arabia	28571770
antigua_barbuda	94731
mali	17885245
grenada	111724
yemen	28036829
poland	38476269
american_samoa	51504
bahrain	1410942
falkland_islands(_islas_malvinas)	2931
united_states_virgin_islands	107268
chad	12075985
mexico	124574795
india	1281935911
cabo_verde	560899
paraguay	6943739
belarus	9549747
greenland	57713
uganda	39570125
burundi	11466756
kenya	47615739
el_salvador	6172011
botswana	2214858
mauritius	1356388
italy	62137802
cambodia	16204486
ethiopia	105350020
guyana	737718
south_sudan	13026129
vanuatu	282814
cameroon	24994885
cayman_islands	58441
benin	11038805
brazil	207353391
norfolk_island	2210
isleof_man	88815
singapore	5888926
montenegro	642550
monaco	30645
coted'_ivoire	24184810
slovenia	1972126
honduras	9038741
germany	80594017
pitcairn_islands	54
new_caledonia	279070
dominica	73897
gambia_the	2051363
suriname	591919
eritrea	5918919
tonga	106479
maldives	392709
saint_martin	32125
tanzania	53950935
indonesia	260580739
cook_islands	9290
curacao	149648
liechtenstein	38244
vietnam	96160163
guernsey	66502
kuwait	2875422
sri_lanka	22409381
barbados	292336
northern_mariana_islands	52263
faroe_islands	50730
